btag|packed
100549771_471860|05-21~1,0 2026-08M~52,8 all~984,57 2026-08~318,15 06-13~5,0 05-14~13,0 05-23~79,0 06-01~1,0 09-01~17,0 06-26~19,0 2026-05~219,4 07-06~10,4 08-22~7,0 2026-06M~89,0 08-30~11,0 06-19~96,2 2026-06~329,34 2026-09M~17,0 05-10~11,0 06-18~120,32 08-04~9,1 08-01~52,8 2026-09~17,0 05-22~14,0 08-10~79,3 05-17~101,4 2026-07~101,4 07-09~35,0 07-21~8,0 07-14~48,0 08-29~160,3 06-02~88,0
100657402_465780|2026-06~347,3 05-13~1,0 06-12~97,0 all~414,5 2026-05~38,2 05-21~37,2 2026-08~7,0 08-28~7,0 06-14~33,0 06-26~196,2 06-07~21,1 07-08~22,0 2026-07~22,0
100714138_465827|05-29~48,0 05-02~1,0 06-15~1,0 06-10~18,0 2026-05M~1,0 06-03~20,6 all~494,9 05-18~22,1 06-05~67,0 2026-06~213,6 2026-06M~83,0 06-11~7,0 05-19~1,0 06-01~68,0 06-02~15,0 05-14~23,0 05-08~2,0 06-23~17,0 05-27~46,2 05-31~5,0 05-28~86,0 05-23~2,0 05-20~16,0 2026-05~281,3 05-25~20,0 05-06~4,0 05-09~5,0
100714138_497964|05-06~14,0 08-21~67,0 06-25~54,0 05-21~20,1 08-02~1,0 05-24~12,0 08-31~176,3 08-29~2,2 07-28~5,0 05-22~13,0 05-04~15,0 05-05~12,0 05-31~23,0 05-17~21,0 05-13~23,0 07-03~3,0 07-12~1,0 08-16~73,7 05-08~24,0 08-19~60,1 09-01~22,1 07-14~19,0 07-01~44,1 06-19~14,0 2026-06~636,19 2026-08M~1,0 05-07~55,0 06-08~35,0 2026-08~1120,41 08-23~4,0 06-07~13,1 2026-05M~49,0 05-14~20,0 08-15~63,0 05-15~13,0 06-17~35,1 06-21~86,3 08-12~4,0 08-22~32,1 05-30~34,0 08-04~16,0 06-23~12,0 06-01~22,1 07-19~4,0 05-18~14,0 06-14~16,0 06-16~26,0 all~2452,76 06-11~44,1 06-13~17,0 05-23~18,0 06-10~14,1 05-28~15,2 05-10~27,0 08-08~15,0 05-20~10,0 07-27~2,0 2026-07~115,11 06-04~10,0 06-12~15,0 07-31~16,0 08-09~82,0 06-09~38,1 08-17~27,0 06-15~66,2 08-03~29,3 08-14~14,0 06-18~47,3 06-22~2,0 05-29~11,0 06-02~19,1 2026-07M~44,1 05-19~11,0 2026-09M~22,1 08-10~37,7 08-27~1,0 07-18~21,10 08-20~77,3 05-01~37,0 05-26~15,0 06-05~16,0 06-03~21,2 06-06~14,2 05-12~11,1 08-26~115,5 08-07~63,0 05-02~12,0 2026-06M~41,2 05-11~15,0 08-18~162,9 05-25~15,0 05-16~26,0 2026-05~559,4 2026-09~22,1 05-27~12,0 05-09~11,0
100714138_497965|08-18~12,1 2026-09~40,0 07-17~12,0 06-16~25,0 08-17~85,0 08-25~17,0 07-07~1,0 07-16~3,1 06-11~144,0 06-26~19,2 07-08~13,1 08-23~61,0 06-19~60,5 08-05~11,2 all~686,22 2026-09M~40,0 08-16~2,0 07-24~36,0 09-02~40,0 08-19~45,0 07-20~95,10 2026-08~238,3 2026-07~160,12 2026-06~248,7 08-29~5,0
100790946_465852|08-15~14,0 07-20~145,9 07-06~34,0 07-02~18,0 05-17~15,0 2026-07M~18,0 07-25~121,0 08-13~3,0 05-02~19,0 06-26~37,0 05-23~36,0 07-05~27,0 07-23~86,4 08-22~108,0 08-30~12,0 07-24~93,4 07-21~450,12 06-22~1,0 06-24~5,0 2026-05M~19,0 06-06~41,0 05-18~19,1 2026-08~562,16 2026-07~1055,30 06-21~24,0 06-29~265,15 all~2290,69 05-07~1,0 07-29~15,0 2026-05~92,1 08-23~299,14 08-06~12,2 06-27~94,4 05-14~2,0 08-29~3,0 06-14~37,0 07-03~28,1 2026-06~581,22 08-26~105,0 07-22~24,0 08-07~6,0 06-30~77,3 07-07~14,0
101232044_493603|05-28~50,0 2026-07M~15,0 06-02~79,0 06-15~15,0 05-20~669,12 2026-07~39,0 05-25~742,2 05-19~720,11 05-21~892,7 2026-06~542,4 05-30~115,25 2026-05~8561,159 06-01~119,0 06-14~44,0 07-02~15,0 06-07~22,0 05-22~520,5 06-03~31,0 05-16~680,6 05-23~191,0 all~9142,163 05-31~27,0 05-15~1319,16 07-14~24,0 05-29~194,0 06-04~79,1 05-18~502,17 06-21~49,3 06-23~7,0 05-27~223,1 2026-06M~198,0 05-26~334,4 05-24~797,47 06-05~97,0 05-17~586,6
101401470_486641|05-15~201,7 06-27~1503,31 06-23~847,16 05-31~135,2 05-17~320,5 05-28~323,5 05-16~172,0 05-22~190,1 05-04~702,3 07-20~232,5 07-10~281,0 06-08~96,0 07-15~25,0 07-01~114,4 06-19~879,4 08-05~104,0 05-10~225,1 05-18~209,4 05-27~368,1 07-07~876,0 07-12~159,0 2026-07M~229,5 06-18~825,2 2026-08~594,26 05-14~235,0 07-30~11,2 06-28~626,26 07-24~15,0 07-03~1996,21 07-21~9,2 2026-06M~252,7 06-14~811,24 05-07~238,0 08-06~101,7 05-06~147,0 05-21~624,4 06-04~81,0 2026-06~18959,286 06-25~1133,16 05-26~348,12 08-01~191,5 05-23~306,0 2026-05~7777,53 07-26~5,4 05-19~255,0 07-06~628,3 06-30~274,2 07-28~11,1 06-12~983,8 06-07~202,0 06-05~194,0 06-02~60,0 05-25~354,2 05-30~56,2 05-08~78,0 06-03~80,0 08-02~107,5 05-03~297,0 05-29~329,0 2026-08M~298,10 06-17~746,12 06-01~192,7 07-19~20,7 07-22~160,2 07-14~51,2 07-02~115,1 07-05~700,12 06-09~61,0 07-11~187,3 07-17~140,0 08-04~26,9 all~35049,448 08-07~26,0 06-21~598,9 07-13~219,0 05-13~275,2 2026-05M~446,1 07-23~46,1 07-09~245,0 06-11~870,7 06-26~896,12 08-21~9,0 07-04~543,5 08-03~30,0 06-13~1140,3 05-12~205,0 07-16~160,0 05-24~115,0 06-16~1444,18 06-22~517,18 06-20~717,12 06-10~892,7 07-08~595,2 06-15~1106,18 05-09~164,0 06-24~750,28 05-01~172,1 2026-07~7719,83 05-20~127,1 05-11~155,0 06-29~436,6 07-31~176,6 05-02~274,0 05-05~178,0
101401470_491917|06-03~79,0 07-02~415,0 05-20~584,23 06-24~81,0 06-21~149,0 05-31~89,0 06-27~107,11 06-01~91,2 07-26~16,0 07-18~31,0 09-01~164,59 06-12~149,1 06-16~101,0 2026-09M~485,65 06-06~68,3 09-02~321,6 05-29~139,4 07-16~130,7 05-09~1061,13 07-03~82,0 07-22~12,0 06-02~103,0 05-02~541,42 06-11~263,1 07-09~53,7 07-08~155,0 06-10~476,2 05-12~320,1 05-23~1077,1 06-19~259,0 07-01~31,0 05-24~717,1 06-30~213,2 2026-08~11,0 05-28~274,11 07-17~341,7 05-08~8,0 06-29~16,0 05-26~674,19 06-08~86,2 2026-06M~194,2 06-28~92,0 07-30~9,1 2026-06~4000,69 05-04~251,1 07-05~51,0 all~24544,532 05-11~1082,33 05-13~511,5 07-12~80,0 05-14~206,5 05-16~987,25 06-26~279,14 05-15~1268,29 06-15~59,3 06-25~165,2 07-27~12,0 05-01~750,34 05-17~1537,23 2026-05~18512,375 2026-05M~1291,76 07-13~7,0 05-19~886,15 05-10~686,8 07-11~60,1 06-09~2,0 05-27~1100,26 06-05~78,0 2026-07M~446,0 05-07~120,0 05-21~1198,40 07-20~19,0 05-30~72,0 05-22~798,5 07-04~4,0 08-07~4,0 05-05~32,0 08-18~1,0 06-04~97,2 05-18~427,0 06-18~32,0 06-23~236,0 05-03~102,0 06-17~88,0 08-16~6,0 05-25~1015,11 2026-09~485,65 2026-07~1536,23 06-14~177,18 06-20~215,6 06-13~172,0 06-22~67,0 07-14~28,0
101558256_470708|08-06~49,8 08-01~8,0 08-16~47,8 07-26~178,4 07-27~501,119 2026-05M~32,0 2026-08~614,26 08-12~66,0 07-19~13,0 2026-08M~32,0 05-01~32,0 08-05~11,0 07-23~23,4 2026-07~1065,137 07-30~55,1 07-29~43,2 05-03~31,2 08-02~24,0 08-08~93,0 07-13~8,0 all~1746,165 08-11~90,3 2026-05~67,2 08-10~94,3 07-25~123,3 08-30~8,0 08-17~17,0 07-12~2,0 08-19~14,0 07-24~119,4 08-07~29,0 08-09~64,4 05-09~4,0
101575715_493605|07-26~48,0 05-20~1149,12 05-19~698,14 06-07~46,0 2026-06~1233,7 06-23~50,0 06-04~224,1 06-01~184,0 05-28~214,7 05-30~188,6 07-16~136,0 07-28~106,2 2026-07~1170,16 07-22~93,1 05-25~1065,4 07-24~95,1 05-23~391,7 05-21~678,7 05-31~510,0 07-20~82,7 07-12~62,0 06-03~171,2 07-18~121,2 05-27~106,0 2026-05~9469,122 07-21~21,0 05-24~688,9 05-18~938,18 2026-08~44,0 05-29~136,3 07-07~14,0 06-10~43,1 07-30~32,1 06-11~53,0 all~11916,145 05-16~503,5 06-06~129,0 2026-06M~295,0 06-02~111,0 07-23~1,0 07-14~175,0 05-17~771,22 06-05~187,3 06-08~35,0 07-10~184,2 08-19~44,0 05-22~1066,5 05-26~368,3
101575747_470737|07-28~606,8 07-16~776,82 07-12~467,3 08-06~26,0 07-31~38,0 08-31~12,0 06-10~15,0 07-19~675,55 08-07~51,1 08-09~92,4 07-29~739,52 08-10~8,0 07-13~525,6 08-01~118,17 07-30~118,8 07-23~175,34 07-27~448,5 07-18~705,43 05-31~11,0 all~13795,700 08-21~77,0 08-22~21,0 2026-08~851,24 07-24~652,29 08-02~66,0 07-21~370,22 07-15~753,29 08-05~9,0 2026-08M~184,17 07-17~511,20 07-25~181,1 2026-06~15,0 07-20~1259,99 2026-07~12918,676 07-14~470,3 07-11~1111,28 07-22~1135,108 07-26~907,27 2026-05~11,0 07-10~297,14 08-08~52,1 08-04~301,1 08-23~18,0
101578548_492625|06-14~306,0 06-25~292,9 07-03~10,0 08-07~51,3 05-16~8,0 05-30~243,2 05-05~10,2 08-01~19,5 08-27~22,0 05-28~35,0 06-16~145,0 2026-05~3302,32 06-02~356,5 08-23~8,0 07-22~28,0 08-26~59,1 08-03~80,1 2026-09M~116,2 06-30~11,0 08-14~37,0 08-31~74,2 06-29~45,0 05-12~2,0 2026-08~1257,38 05-24~577,0 08-16~71,4 05-14~29,0 07-02~107,0 06-05~436,0 07-20~17,0 06-06~123,2 06-12~379,2 07-18~28,0 07-05~32,0 08-29~20,0 07-19~13,0 06-01~736,5 06-24~125,4 06-26~10,0 06-04~526,8 09-01~43,2 08-15~9,0 08-11~17,2 08-28~31,0 08-24~124,0 06-23~111,0 05-13~16,0 2026-06M~1092,10 06-21~22,0 all~12145,131 06-20~181,0 05-27~54,7 05-15~5,0 06-28~15,0 07-30~20,2 08-06~28,2 08-18~4,0 2026-08M~19,5 2026-06~6857,55 06-13~168,2 05-31~491,1 08-12~82,3 06-18~260,1 07-04~10,0 07-11~13,0 06-09~259,0 08-30~142,14 08-08~88,0 08-17~1,0 08-09~29,1 07-06~50,1 2026-07M~164,0 08-13~79,0 06-15~387,7 06-11~288,4 07-09~62,0 06-03~835,3 06-07~59,0 07-08~54,0 06-10~223,1 06-27~24,0 06-22~129,0 05-29~455,2 2026-07~613,4 06-19~85,0 07-01~57,0 05-25~615,12 05-26~379,2 2026-09~116,2 06-17~101,0 08-10~168,0 06-08~220,2 07-10~26,0 08-05~14,0 07-07~73,1 07-14~13,0 05-07~46,0 05-23~337,4 09-02~73,0
101578548_497396|08-29~38,0 06-28~551,3 06-03~325,11 07-02~257,2 06-07~8,0 06-23~194,2 all~19292,336 08-13~51,1 06-24~510,16 08-17~325,3 08-16~21,2 06-26~768,18 07-04~11,0 2026-06~11745,239 07-23~10,0 08-28~208,6 07-14~83,4 2026-07M~874,7 06-27~501,5 08-10~274,4 06-18~428,8 08-20~21,1 05-27~31,0 06-13~134,0 08-24~115,2 06-16~303,0 08-12~133,3 06-17~52,0 06-12~345,3 07-11~77,0 06-09~498,23 06-08~411,10 07-10~67,0 07-03~246,0 08-18~76,0 2026-08~3893,47 06-25~1057,18 08-03~6,0 2026-07~2411,24 06-15~433,15 2026-05~112,0 06-11~226,0 07-09~77,0 2026-09~1131,26 08-26~15,0 07-07~239,1 06-21~651,11 07-08~222,0 06-10~364,8 06-22~399,0 09-02~171,1 08-30~151,0 08-22~5,2 09-01~960,25 08-19~9,0 08-11~607,2 07-06~135,1 2026-09M~1131,26 07-17~10,0 07-15~264,9 08-14~612,8 08-31~762,2 06-19~42,0 07-01~617,5 07-05~38,2 06-04~1109,26 08-21~12,1 08-23~11,1 05-26~81,0 08-25~11,2 07-13~6,0 06-30~714,17 08-15~335,7 06-14~444,17 06-29~885,19 08-07~32,0 06-06~161,2 06-20~90,1 07-16~52,0 08-27~63,0 06-05~142,6
101644135_471394|06-21~48,2 05-25~114,4 08-25~103,0 07-23~23,6 06-02~62,1 07-29~100,9 06-29~134,4 07-31~108,6 08-30~142,0 05-28~87,0 06-24~65,0 05-03~35,2 06-05~320,5 06-16~82,1 05-31~697,26 07-12~10,0 06-13~90,0 06-06~75,2 07-01~249,2 06-19~591,12 05-08~45,1 2026-08M~215,11 08-19~461,9 09-01~57,0 07-17~106,6 07-13~8,0 05-16~187,1 05-07~96,5 2026-07~3850,133 08-08~155,5 05-15~144,3 06-23~310,3 08-07~25,0 2026-06~5417,123 07-02~295,4 06-15~119,0 2026-09M~244,0 08-17~238,3 08-26~3,0 05-24~171,1 05-21~64,0 08-21~92,2 2026-06M~322,3 all~19052,550 06-12~32,0 06-22~99,6 07-07~128,3 07-26~52,2 05-27~409,7 06-04~180,10 08-23~32,0 05-05~102,0 05-30~136,24 07-20~138,3 07-22~41,4 2026-08~3018,117 05-01~39,1 08-01~120,7 2026-05M~207,4 06-30~712,6 07-28~293,10 08-14~91,2 08-16~70,6 05-23~1007,20 06-01~260,2 07-19~92,0 08-11~15,0 08-13~142,14 05-06~180,6 08-10~75,9 05-11~40,1 07-09~22,0 06-11~169,3 07-10~83,0 06-08~53,2 05-29~130,2 05-18~797,6 07-24~8,0 08-04~44,1 08-12~49,1 08-29~307,11 06-09~212,3 07-11~188,5 07-04~131,4 07-06~97,1 05-22~112,10 07-03~150,6 08-09~110,4 09-02~187,0 07-27~397,13 06-17~182,14 08-15~73,9 05-26~82,0 06-03~20,0 06-14~134,5 2026-09~244,0 08-18~85,3 08-22~104,0 2026-07M~544,6 08-28~5,0 08-02~95,4 08-24~1,0 07-18~60,5 08-27~1,0 05-04~429,26 05-09~94,5 06-10~182,6 07-08~163,10 05-02~168,3 06-27~156,1 06-25~413,14 07-15~171,10 06-20~75,7 05-19~23,3 05-20~50,2 05-12~40,1 05-17~128,0 08-05~121,11 07-14~64,2 08-31~52,2 08-03~33,3 08-06~128,10 2026-05~6523,177 05-14~129,3 07-05~403,9 06-26~283,4 07-16~34,0 05-13~289,10 08-20~46,1 05-10~499,4 06-07~214,5 07-30~166,12 06-28~25,0 06-18~120,5 07-21~62,0 07-25~8,1
