c|packed
Afghanistan|08-13~1,1,0,0,0 07-29~2,1,0,0,0 all~43,10,4,1,0 07-15~2,0,0,0,0 07-28~2,1,0,0,0 08-12~1,1,0,0,0 07-01~1,0,0,0,0 2026-06~8,2,1,0,0 2026-05~7,0,0,0,0 06-03~1,0,0,0,0 07-31~1,0,0,0,0 07-14~1,0,0,0,0 08-18~2,0,0,0,0 08-17~3,2,1,1,0 05-28~1,0,0,0,0 07-27~2,0,0,0,0 07-19~2,0,0,0,0 06-24~2,0,0,0,0 08-06~1,0,0,0,0 07-30~2,0,0,0,0 05-22~3,0,0,0,0 07-13~1,1,1,0,0 08-11~1,0,0,0,0 06-20~1,1,1,0,0 06-28~1,1,0,0,0 05-02~3,0,0,0,0 08-16~1,1,0,0,0 2026-08~14,5,2,1,0 06-04~2,0,0,0,0 08-27~1,0,0,0,0 2026-07~15,3,1,0,0 08-05~1,1,1,0,0 06-05~1,0,0,0,0 08-09~1,0,0,0,0 2026-05M~3,0,0,0,0 2026-07M~1,0,0,0,0 08-03~3,0,0,0,0
Albania|05-31~5,0,0,0,0 08-29~11,0,0,0,0 06-03~6,3,1,1,0 05-18~2,0,0,0,0 07-06~10,0,0,0,0 05-15~6,2,0,0,0 2026-07~140,58,31,20,17 08-13~15,2,0,0,0 06-02~3,1,0,0,0 2026-05~49,13,3,2,1 05-19~6,2,0,0,0 07-23~11,2,1,1,1 07-11~10,3,1,1,1 06-09~5,1,0,0,0 08-22~17,1,1,1,0 all~352,136,55,36,26 07-31~17,4,3,1,1 06-29~12,3,2,2,0 08-04~10,2,0,0,0 06-22~9,0,0,0,0 08-26~15,1,0,0,0 05-25~5,1,0,0,0 06-14~8,0,0,0,0 07-15~13,2,0,0,0 06-26~9,0,0,0,0 06-18~8,0,0,0,0 07-19~16,2,2,1,1 06-01~4,2,0,0,0 05-08~6,2,0,0,0 08-21~17,0,0,0,0 06-23~12,1,0,0,0 07-07~7,1,0,0,0 08-14~15,3,2,0,0 07-16~7,0,0,0,0 05-05~4,1,0,0,0 2026-09~20,3,0,0,0 05-10~3,0,0,0,0 06-19~10,3,1,1,1 07-01~12,0,0,0,0 08-05~10,3,0,0,0 06-06~5,0,0,0,0 07-22~13,1,1,1,1 07-08~8,1,1,0,0 06-10~11,3,0,0,0 2026-09M~20,3,0,0,0 08-11~13,0,0,0,0 08-18~16,1,0,0,0 05-27~7,1,0,0,0 06-21~10,3,1,1,0 2026-08~132,41,11,5,4 2026-07M~14,1,0,0,0 08-16~14,1,0,0,0 08-24~12,0,0,0,0 08-23~13,1,0,0,0 07-04~12,1,0,0,0 08-07~11,1,0,0,0 08-28~13,1,0,0,0 2026-06~73,28,9,8,3 07-03~14,6,5,2,2 07-13~14,2,1,0,0 05-29~5,0,0,0,0 06-12~6,1,0,0,0 05-06~1,0,0,0,0 05-07~5,3,0,0,0 09-02~18,3,0,0,0 06-08~9,0,0,0,0 07-10~8,1,0,0,0 08-06~11,2,1,0,0 08-27~12,0,0,0,0 06-20~8,1,0,0,0 05-09~5,1,0,0,0 05-22~2,0,0,0,0 05-23~4,2,1,1,0 05-21~2,0,0,0,0 09-01~12,0,0,0,0 08-19~18,0,0,0,0 05-01~1,0,0,0,0 07-12~11,1,0,0,0 05-28~5,0,0,0,0 08-10~19,5,3,2,2 08-09~35,6,0,0,0 05-02~1,0,0,0,0 05-03~2,1,0,0,0 06-05~8,4,1,1,1 08-17~18,3,1,1,1 06-16~8,1,0,0,0 07-24~14,5,1,0,0 07-26~16,3,0,0,0 05-24~4,2,1,1,1 06-11~9,3,0,0,0 07-09~11,3,1,1,0 2026-05M~2,0,0,0,0 06-27~9,1,0,0,0 08-20~16,2,0,0,0 06-15~9,3,0,0,0 06-24~11,1,1,1,0 08-03~11,0,0,0,0 07-18~14,5,5,4,3 06-07~7,0,0,0,0 05-17~5,1,0,0,0 07-17~11,0,0,0,0 07-02~9,1,0,0,0 07-20~15,5,2,1,1 06-13~7,1,0,0,0 07-14~13,3,1,1,1 05-20~5,2,0,0,0 06-04~6,1,1,1,0 05-14~4,1,1,0,0 07-28~13,2,2,0,0 06-30~8,0,0,0,0 05-11~4,1,0,0,0 06-17~9,1,0,0,0 05-04~2,1,0,0,0 05-26~3,0,0,0,0 05-30~3,1,0,0,0 05-13~5,0,0,0,0 06-25~12,1,1,0,0 08-02~11,3,0,0,0 08-15~16,1,0,0,0 05-16~2,0,0,0,0 05-12~5,1,0,0,0 08-12~16,0,0,0,0 08-31~12,0,0,0,0 07-29~25,5,0,0,0 07-25~16,4,2,1,1 07-05~11,0,0,0,0 2026-08M~17,4,0,0,0 08-08~12,3,3,1,1 2026-06M~6,3,0,0,0 08-25~13,0,0,0,0 08-30~11,1,0,0,0 06-28~7,0,0,0,0 07-30~16,2,1,1,1 07-27~14,1,1,1,1 07-21~17,3,1,1,1 08-01~12,1,0,0,0 sr~451,316 se~1646,687,63,10.1,4.65
Algeria|07-14~20,1,1,1,0 06-11~28,2,2,0,0 07-09~21,1,1,0,0 06-25~25,2,1,0,0 08-06~26,0,0,0,0 05-23~22,3,2,0,0 06-28~28,2,0,0,0 07-30~23,0,0,0,0 08-01~20,2,1,0,0 06-21~18,0,0,0,0 06-24~28,1,0,0,0 05-06~22,1,0,0,0 07-28~21,0,0,0,0 06-30~64,39,29,5,0 2026-08~153,35,21,12,4 05-10~29,1,0,0,0 08-15~35,5,3,1,1 07-08~23,3,2,0,0 06-10~31,2,0,0,0 06-04~22,1,1,1,0 09-01~21,0,0,0,0 08-19~20,0,0,0,0 07-25~24,1,0,0,0 08-08~25,3,2,2,2 08-12~28,1,0,0,0 07-17~21,2,2,0,0 05-17~27,1,0,0,0 05-14~27,2,1,0,0 07-12~17,1,1,1,0 2026-09~25,1,1,1,0 06-18~23,0,0,0,0 06-03~24,2,2,2,0 05-29~20,1,1,0,0 08-17~28,0,0,0,0 07-11~22,2,1,1,0 06-09~21,0,0,0,0 08-29~23,0,0,0,0 05-30~22,0,0,0,0 08-25~24,3,1,0,0 05-25~24,1,1,1,0 06-13~21,1,0,0,0 2026-06M~35,1,1,1,0 08-05~24,0,0,0,0 05-22~21,0,0,0,0 09-02~21,1,1,1,0 06-22~24,0,0,0,0 07-20~23,3,2,1,0 08-20~21,2,1,1,0 05-13~22,0,0,0,0 06-12~30,0,0,0,0 05-24~25,1,1,1,0 05-07~27,1,0,0,0 08-14~23,0,0,0,0 07-02~21,1,1,0,0 05-12~21,0,0,0,0 08-26~25,3,2,2,1 06-02~24,1,1,1,0 06-17~17,0,0,0,0 08-10~20,1,1,1,0 08-16~30,1,0,0,0 08-02~24,3,2,2,0 05-21~22,0,0,0,0 08-28~21,0,0,0,0 08-24~31,2,1,0,0 2026-07~162,61,43,12,0 07-19~24,1,0,0,0 06-01~25,0,0,0,0 2026-07M~57,25,17,1,0 06-27~27,3,3,2,0 05-09~27,0,0,0,0 06-05~25,1,1,0,0 05-26~18,2,0,0,0 08-07~28,2,2,0,0 06-14~26,0,0,0,0 08-31~22,1,0,0,0 07-23~18,1,1,0,0 2026-09M~25,1,1,1,0 07-22~23,4,3,0,0 06-23~20,2,1,1,0 08-13~23,1,0,0,0 06-20~20,1,1,1,1 08-03~27,0,0,0,0 07-07~20,2,1,0,0 07-06~22,3,2,1,0 07-04~20,1,1,0,0 07-24~22,0,0,0,0 06-15~23,1,0,0,0 2026-06~179,67,46,17,1 07-27~22,3,3,0,0 07-26~23,0,0,0,0 06-16~17,0,0,0,0 08-30~19,0,0,0,0 2026-05~102,18,6,2,0 06-07~18,1,1,1,0 05-08~27,2,0,0,0 05-01~23,0,0,0,0 05-03~26,2,0,0,0 06-19~24,2,1,1,0 07-01~52,24,16,1,0 07-29~33,4,4,2,0 06-08~19,1,1,0,0 07-10~22,1,0,0,0 05-11~21,0,0,0,0 05-28~24,0,0,0,0 05-19~23,0,0,0,0 08-09~20,0,0,0,0 07-16~22,0,0,0,0 05-16~20,0,0,0,0 08-22~25,1,1,0,0 08-18~30,1,1,0,0 05-27~22,0,0,0,0 05-05~22,0,0,0,0 2026-05M~28,0,0,0,0 05-31~26,0,0,0,0 07-05~18,0,0,0,0 07-31~19,0,0,0,0 06-29~25,0,0,0,0 07-21~22,1,1,0,0 07-03~23,0,0,0,0 07-15~21,2,0,0,0 07-13~18,0,0,0,0 05-18~25,0,0,0,0 08-27~20,1,1,0,0 07-18~21,0,0,0,0 08-23~22,0,0,0,0 06-06~23,2,2,1,0 2026-08M~30,5,3,2,0 08-21~33,0,0,0,0 05-20~17,0,0,0,0 06-26~23,0,0,0,0 08-11~27,4,2,1,0 all~463,179,116,47,5 08-04~26,1,1,1,0 05-15~21,1,0,0,0 05-02~24,0,0,0,0 05-04~23,0,0,0,0 sr~496,334 se~8885,988,162,4.4,4.87
American Samoa|all~1,0,0,0,0 06-30~1,0,0,0,0 2026-06~1,0,0,0,0
Andorra|06-09~1,0,0,0,0 06-10~1,0,0,0,0 07-28~1,0,0,0,0 05-05~1,0,0,0,0 2026-05~5,1,0,0,0 05-15~1,1,0,0,0 05-06~1,0,0,0,0 07-23~1,0,0,0,0 2026-06~3,0,0,0,0 07-21~1,0,0,0,0 05-11~1,0,0,0,0 05-08~1,0,0,0,0 08-04~1,0,0,0,0 2026-08~1,0,0,0,0 06-28~1,0,0,0,0 2026-07~4,0,0,0,0 07-07~1,0,0,0,0 all~12,1,0,0,0
Angola|all~62,30,15,10,0 08-17~1,0,0,0,0 06-27~8,3,1,1,0 08-09~1,0,0,0,0 07-20~1,0,0,0,0 06-29~3,1,0,0,0 05-18~1,1,0,0,0 2026-05M~1,0,0,0,0 06-08~2,1,0,0,0 06-24~2,0,0,0,0 09-01~1,0,0,0,0 05-19~1,0,0,0,0 05-07~1,1,0,0,0 06-12~1,0,0,0,0 2026-07~9,4,1,1,0 07-29~1,0,0,0,0 06-15~1,0,0,0,0 06-05~1,0,0,0,0 06-26~8,3,2,2,0 2026-07M~7,4,1,1,0 05-02~1,0,0,0,0 08-26~1,1,1,1,0 07-01~7,4,1,1,0 2026-06~43,20,10,7,0 2026-08~3,1,1,1,0 06-28~8,6,2,1,0 05-21~1,1,1,0,0 2026-09M~1,0,0,0,0 05-09~1,0,0,0,0 2026-05~9,5,3,0,0 2026-09~1,0,0,0,0 06-30~7,4,3,2,0 05-14~1,1,1,0,0 05-27~2,1,1,0,0 06-25~3,2,2,1,0
Antarctica|08-20~3,0,0,0,0 08-19~1,0,0,0,0 2026-08~4,0,0,0,0 all~4,0,0,0,0
Antigua and Barbuda|all~4,1,0,0,0 05-11~1,1,0,0,0 2026-08~2,0,0,0,0 2026-05~1,1,0,0,0 05-12~1,0,0,0,0 08-03~1,0,0,0,0 08-28~1,0,0,0,0 2026-07~1,0,0,0,0 05-08~1,1,0,0,0 07-14~1,0,0,0,0
Argentina|2026-06M~207,73,47,29,0 07-24~6745,54,7,1,0 05-21~30,4,2,0,0 07-19~9832,20,8,2,2 2026-08~930,295,208,139,80 08-24~16,1,1,1,1 06-17~385,40,21,12,0 08-19~36,7,7,3,1 06-02~143,51,29,16,0 08-26~22,2,0,0,0 05-19~39,7,1,0,0 05-27~96,25,19,4,0 06-21~560,17,5,1,0 08-12~76,21,8,5,3 05-06~35,4,0,0,0 07-08~183,34,27,15,1 07-25~5081,50,7,1,0 08-16~38,6,1,0,0 07-22~4439,70,8,5,0 05-15~54,19,14,9,6 06-16~219,25,16,7,3 05-02~42,4,0,0,0 07-02~296,45,30,21,7 06-01~75,23,18,13,0 07-26~4992,47,5,3,2 08-02~68,17,12,9,6 07-13~71,19,12,7,5 08-22~33,7,5,4,4 06-20~530,31,18,8,0 06-14~164,17,11,5,1 06-27~157,22,13,6,0 06-15~295,27,15,9,0 05-01~44,5,0,0,0 05-26~26,5,2,2,0 07-12~59,12,9,7,6 06-12~533,37,23,12,1 08-03~81,10,6,4,3 08-27~26,1,0,0,0 07-29~109,13,10,1,0 06-23~704,62,16,10,0 07-04~249,31,15,10,0 06-11~715,56,32,15,1 07-31~82,10,9,7,1 05-14~32,8,7,4,0 08-20~39,10,6,0,0 07-17~8244,41,10,6,3 2026-06~9224,1366,884,513,86 08-14~40,4,2,2,0 07-10~96,37,26,23,20 06-09~222,39,28,12,0 08-28~24,3,3,1,0 06-19~569,23,14,8,0 2026-08M~136,25,16,10,6 05-18~53,9,9,6,1 05-29~99,31,23,7,0 08-25~25,0,0,0,0 2026-07~81272,1082,420,273,111 07-09~73,24,19,12,2 07-23~6054,78,9,4,0 09-01~14,0,0,0,0 05-11~35,8,0,0,0 08-18~39,3,3,2,1 07-20~5217,72,11,6,3 08-30~16,1,1,1,0 08-09~35,1,0,0,0 07-15~66,26,18,15,13 05-09~37,14,0,0,0 05-17~56,15,12,7,2 07-14~90,27,20,12,2 07-30~92,10,2,2,0 08-21~31,8,6,1,1 07-21~11645,124,12,6,4 05-20~45,6,3,1,0 2026-07M~431,80,45,33,8 2026-05M~78,9,0,0,0 08-17~39,5,3,1,0 05-31~107,45,28,6,0 all~91789,3052,1721,1092,340 06-10~291,53,37,13,0 05-16~96,59,46,30,13 2026-05~1087,437,235,117,39 07-28~145,11,5,3,0 08-01~76,8,4,1,0 05-30~71,13,9,4,0 06-06~444,118,92,54,0 07-05~219,53,32,15,1 2026-09M~23,2,0,0,0 08-31~28,2,0,0,0 08-04~73,16,10,3,0 07-07~335,24,14,6,0 06-13~317,58,43,24,4 05-23~65,21,17,2,0 06-07~364,111,90,56,14 07-18~12537,38,16,7,0 08-05~57,13,11,4,2 08-07~72,21,17,10,5 07-01~176,35,15,12,1 07-11~102,29,17,14,10 07-27~6345,54,5,3,0 08-11~81,27,22,18,17 08-29~24,1,0,0,0 08-10~62,29,23,19,13 07-03~199,37,21,13,3 06-25~262,35,22,10,3 06-08~229,67,48,28,11 07-06~216,46,26,17,4 08-15~49,14,10,6,1 05-04~49,9,0,0,0 05-24~32,7,2,1,0 06-29~82,12,9,3,0 06-22~1131,51,25,12,3 09-02~16,2,0,0,0 05-12~57,21,0,0,0 05-05~47,13,0,0,0 08-13~99,43,23,15,1 06-03~181,63,48,24,4 06-26~156,31,16,9,3 05-07~34,7,0,0,0 08-08~63,23,20,14,10 05-08~35,7,0,0,0 05-03~70,20,0,0,0 2026-09~23,2,0,0,0 05-13~51,10,6,5,4 05-22~42,6,4,1,0 05-25~30,4,2,1,0 06-24~467,99,27,22,2 05-10~53,27,0,0,0 05-28~134,42,33,14,0 08-23~28,1,0,0,0 06-18~503,32,19,14,0 06-05~330,96,73,29,3 07-16~40,11,4,0,0 08-06~61,13,8,6,6 06-28~157,28,18,11,0 06-04~318,71,51,25,8 06-30~173,32,16,8,2 sr~92467,73198 se~103206,189,7,37.0,1.76
Armenia|07-30~15,2,1,0,0 06-28~13,0,0,0,0 06-12~19,1,1,0,0 08-19~11,1,0,0,0 09-01~15,0,0,0,0 06-01~15,1,1,1,1 07-19~10,0,0,0,0 08-22~5,1,1,0,0 05-07~14,0,0,0,0 07-14~16,1,1,0,0 06-13~14,0,0,0,0 08-25~8,0,0,0,0 06-05~16,0,0,0,0 08-18~11,0,0,0,0 07-18~13,1,0,0,0 05-22~16,0,0,0,0 08-08~7,1,0,0,0 06-14~14,1,0,0,0 2026-09M~37,0,0,0,0 05-10~14,0,0,0,0 08-31~15,1,0,0,0 06-20~15,1,1,1,0 07-01~13,0,0,0,0 06-19~18,1,1,0,0 05-30~11,0,0,0,0 2026-05~368,27,11,3,2 07-24~12,0,0,0,0 06-27~12,2,1,0,0 06-17~17,0,0,0,0 2026-06M~32,3,2,2,2 05-14~23,7,2,0,0 08-01~13,1,1,1,0 05-01~18,0,0,0,0 08-24~8,0,0,0,0 05-18~18,3,3,0,0 06-16~17,1,0,0,0 08-12~10,0,0,0,0 08-11~7,0,0,0,0 07-09~9,0,0,0,0 06-11~24,1,1,1,1 08-21~9,1,0,0,0 05-06~16,1,0,0,0 05-17~12,0,0,0,0 06-06~15,0,0,0,0 07-04~16,0,0,0,0 08-04~17,1,0,0,0 06-09~19,0,0,0,0 2026-07M~30,6,4,4,4 07-11~12,0,0,0,0 05-23~14,0,0,0,0 05-09~13,1,0,0,0 08-17~8,0,0,0,0 08-30~7,0,0,0,0 07-26~5,0,0,0,0 08-29~9,0,0,0,0 2026-08M~16,1,1,1,1 08-02~8,0,0,0,0 06-26~16,1,0,0,0 2026-06~327,15,10,5,3 08-26~9,0,0,0,0 05-05~16,2,0,0,0 08-10~5,0,0,0,0 06-25~22,0,0,0,0 06-03~19,2,2,1,0 06-21~12,0,0,0,0 05-02~11,0,0,0,0 08-23~8,0,0,0,0 05-12~17,1,0,0,0 06-30~11,0,0,0,0 07-28~15,2,1,0,0 08-15~6,0,0,0,0 07-07~15,0,0,0,0 2026-08~142,10,4,3,3 07-06~13,0,0,0,0 06-07~13,0,0,0,0 05-11~16,2,0,0,0 08-28~8,0,0,0,0 06-04~21,1,0,0,0 08-27~8,0,0,0,0 2026-05M~28,0,0,0,0 06-10~18,0,0,0,0 07-08~19,0,0,0,0 07-23~12,0,0,0,0 07-22~15,2,2,0,0 07-20~13,0,0,0,0 06-18~18,0,0,0,0 05-13~17,1,1,1,0 07-29~18,0,0,0,0 07-03~18,0,0,0,0 07-02~20,6,4,4,4 08-14~8,0,0,0,0 2026-09~37,0,0,0,0 06-23~16,1,1,0,0 05-25~17,0,0,0,0 05-27~18,2,1,0,0 07-25~11,0,0,0,0 05-08~16,1,0,0,0 06-15~17,0,0,0,0 09-02~27,0,0,0,0 05-19~14,0,0,0,0 08-06~13,0,0,0,0 07-16~13,0,0,0,0 05-16~12,2,1,0,0 05-03~11,0,0,0,0 05-21~18,1,0,0,0 08-13~12,1,1,1,1 08-16~9,1,1,1,1 05-15~15,1,0,0,0 07-21~16,0,0,0,0 07-15~11,0,0,0,0 05-29~21,1,1,1,1 07-10~10,0,0,0,0 06-08~16,0,0,0,0 07-05~12,0,0,0,0 07-27~15,0,0,0,0 06-29~14,0,0,0,0 2026-07~238,17,11,5,4 07-31~14,0,0,0,0 07-12~14,2,1,0,0 07-17~16,1,1,1,0 07-13~15,0,0,0,0 08-03~16,2,0,0,0 06-24~23,0,0,0,0 08-07~11,0,0,0,0 05-28~15,1,0,0,0 05-24~14,0,0,0,0 06-22~14,0,0,0,0 08-05~17,0,0,0,0 05-04~14,1,0,0,0 06-02~21,2,1,1,1 08-09~6,0,0,0,0 08-20~9,0,0,0,0 all~1055,68,37,18,12 05-31~15,2,2,0,0 05-26~18,0,0,0,0 05-20~17,2,0,0,0 sr~1101,217 se~3683,857,9,15.7,6.68
