ref|packed
$direct|08-24~1222,148,25,7,3 2026-09M~1151,135,58,34,4 05-15~840,137,54,19,8 07-03~850,51,24,12,6 08-25~1068,122,20,9,3 2026-07M~1545,117,60,24,4 07-09~896,109,70,22,5 06-11~2172,130,58,21,4 05-08~1196,86,0,0,0 05-10~724,80,0,0,0 08-04~971,73,23,11,3 06-27~962,34,13,7,0 07-20~18102,52,23,12,5 06-26~1080,54,25,15,3 05-17~706,69,32,16,3 05-31~976,76,44,19,5 08-14~6359,608,33,16,8 07-15~739,51,24,18,16 08-20~2616,684,28,13,5 07-24~665,40,16,8,2 06-02~1245,137,48,20,5 08-26~1032,132,23,2,0 08-18~6684,713,20,7,2 2026-07~99196,2055,939,473,215 08-11~2851,838,43,33,16 07-26~637,38,21,15,4 05-07~1004,89,0,0,0 2026-06M~1831,221,83,32,7 08-13~6412,708,43,18,9 06-15~1258,53,19,11,2 2026-08M~1324,195,40,18,1 05-06~1358,104,0,0,0 08-17~8625,988,21,12,0 05-13~776,107,23,13,5 05-21~723,86,36,22,10 05-18~866,110,56,35,11 06-22~1489,77,28,5,1 06-30~1082,79,49,10,0 07-28~971,67,27,17,3 06-01~955,92,35,11,2 07-19~35726,69,21,5,2 05-23~832,89,37,15,7 08-23~1093,139,11,6,4 06-23~2018,104,19,7,2 07-05~882,40,19,8,1 06-16~1221,56,28,11,2 07-17~12905,205,38,19,13 07-01~960,73,37,11,0 06-19~1083,65,27,8,2 05-24~749,88,40,24,12 08-16~10277,966,19,7,0 05-05~1818,104,0,0,0 05-22~1082,119,50,30,17 2026-06~19787,2428,1369,665,122 06-14~1236,42,14,5,2 07-25~618,36,15,8,3 06-04~1272,148,84,46,8 06-12~1520,75,34,17,3 07-13~770,67,32,15,7 07-16~736,65,30,12,10 08-22~1157,159,15,6,1 08-29~779,57,7,4,3 08-30~634,54,8,1,0 07-02~1005,49,23,12,3 06-18~1157,53,29,13,9 2026-09~1151,135,58,34,4 05-19~750,103,38,19,7 06-25~1027,45,26,14,2 07-27~808,39,17,9,2 08-07~1609,313,52,13,5 06-13~1267,74,36,15,3 08-09~1727,377,8,0,0 08-10~2392,688,28,15,7 05-01~2850,112,0,0,0 07-23~678,38,19,10,2 05-02~5109,87,0,0,0 06-10~1829,115,51,19,2 07-08~864,94,63,14,5 05-09~745,72,0,0,0 06-24~1070,51,19,8,3 08-01~846,102,23,11,0 08-19~2481,735,21,13,5 09-01~785,102,40,20,0 05-26~679,82,35,19,12 06-07~1426,187,134,68,5 08-05~1035,163,20,11,3 07-04~856,33,10,4,0 05-16~688,70,38,20,10 all~196853,15889,3897,2076,744 2026-08~61113,8941,771,388,166 07-21~4026,45,26,17,13 05-29~2082,117,67,18,7 05-30~992,66,28,13,5 08-06~946,64,23,8,5 08-02~807,96,17,6,0 05-14~749,95,41,18,4 06-29~868,28,11,7,1 07-31~897,87,14,7,1 08-21~2113,536,33,13,5 06-21~887,48,23,3,0 05-27~866,93,60,25,9 06-06~1368,171,130,63,2 08-15~9879,930,30,23,11 05-03~1926,147,0,0,0 08-12~5035,569,23,15,3 06-17~1206,49,24,7,0 06-03~1201,153,77,28,5 06-20~969,47,24,15,5 07-10~823,68,43,24,16 06-08~1161,174,112,52,4 07-14~755,64,30,14,7 07-18~26463,75,48,26,19 06-05~1283,214,137,63,7 2026-05~23603,2787,828,451,197 06-09~1765,105,49,15,5 07-11~796,115,69,18,11 07-12~722,35,17,7,4 07-22~776,39,18,6,1 07-07~902,56,24,13,3 08-27~1046,97,23,8,5 07-29~1620,270,67,33,0 05-04~2210,138,0,0,0 05-25~773,115,53,27,12 09-02~751,44,18,13,4 2026-05M~7638,193,0,0,0 08-31~704,99,30,9,3 08-08~1786,415,47,28,18 05-11~842,98,0,0,0 07-06~892,62,29,13,7 08-03~916,124,34,11,1 08-28~871,97,34,9,1 05-20~741,107,33,21,12 05-28~1757,128,65,33,4 07-30~1174,145,40,21,3 06-28~906,31,11,5,0 05-12~769,152,0,0,0
25bahisno1.com|2026-07~11,3,3,3,0 06-15~1,0,0,0,0 06-02~1,0,0,0,0 06-12~1,0,0,0,0 06-06~2,0,0,0,0 07-12~1,0,0,0,0 07-03~1,0,0,0,0 07-01~3,0,0,0,0 06-19~1,0,0,0,0 08-28~1,0,0,0,0 06-01~1,0,0,0,0 07-19~1,0,0,0,0 07-09~3,0,0,0,0 06-11~2,0,0,0,0 07-14~1,0,0,0,0 05-29~4,2,0,0,0 07-13~1,0,0,0,0 08-14~1,0,0,0,0 06-30~1,0,0,0,0 07-16~1,0,0,0,0 08-31~1,0,0,0,0 05-31~1,0,0,0,0 2026-06M~1,0,0,0,0 06-20~1,0,0,0,0 all~21,7,5,5,1 08-17~1,0,0,0,0 06-10~2,1,1,1,1 07-08~1,0,0,0,0 08-20~1,0,0,0,0 07-04~2,0,0,0,0 2026-07M~10,1,1,1,0 05-30~2,1,1,0,0 08-12~1,0,0,0,0 2026-08~1,0,0,0,0 06-04~1,0,0,0,0 06-07~2,0,0,0,0 07-02~9,1,1,1,0 06-03~1,0,0,0,0 07-23~1,0,0,0,0 07-10~2,1,1,1,0 06-08~1,0,0,0,0 08-13~1,0,0,0,0 2026-05~5,2,1,0,0 08-08~1,0,0,0,0 08-18~1,0,0,0,0 07-15~1,0,0,0,0 06-05~2,1,0,0,0 08-19~1,0,0,0,0 06-09~1,0,0,0,0 06-16~1,0,0,0,0 07-18~1,0,0,0,0 06-29~1,0,0,0,0 08-24~1,0,0,0,0 06-18~1,0,0,0,0 07-17~2,1,1,1,0 06-24~1,0,0,0,0 08-16~1,0,0,0,0 08-03~1,0,0,0,0 2026-06~9,2,1,1,1
__ALL__|05-04~4180,341,0,0,0 08-24~104323,4989,151,80,24 05-28~5067,592,333,139,20 2026-09M~5232,822,300,140,38 07-18~82552,606,300,149,77 05-22~3010,415,224,110,42 05-26~1806,314,161,85,32 08-16~153718,8012,205,94,22 07-12~4849,471,218,110,36 2026-07~1047384,46049,7439,4156,1291 05-13~2500,381,108,62,16 07-24~14462,770,231,118,27 06-23~15973,1002,216,106,28 2026-07M~13534,1101,516,279,60 05-21~2298,410,213,107,43 08-22~104696,5382,160,89,15 05-07~2364,309,0,0,0 07-25~12953,730,242,141,24 05-27~2867,442,277,119,33 06-16~4554,382,209,95,19 07-28~146852,6635,272,141,32 06-30~7167,740,412,196,30 06-27~8216,579,289,153,33 06-19~5371,646,400,182,34 07-01~6740,588,294,150,23 08-03~120843,7739,222,101,23 06-25~8428,667,347,159,38 2026-05M~10590,542,0,0,0 08-27~100341,6739,142,48,17 08-30~3390,448,112,49,7 08-15~145131,7670,265,132,33 08-08~120675,5770,192,104,45 07-16~4052,546,236,117,41 08-20~114028,4508,171,74,16 05-31~3398,426,252,118,14 05-08~2890,317,0,0,0 08-07~119652,5729,237,113,35 05-03~3591,320,0,0,0 07-21~30077,979,235,121,45 08-28~87844,3697,153,57,17 08-31~3485,532,162,77,28 06-28~7300,646,332,187,24 07-30~118301,7417,212,104,20 07-02~8680,526,222,126,35 07-20~72467,1346,224,125,51 06-06~4363,740,530,241,11 08-29~4179,472,121,59,24 05-30~3183,345,186,77,10 07-15~4564,521,207,120,46 06-14~5130,357,207,111,24 08-06~114339,4926,200,103,24 05-23~2482,393,220,108,39 06-02~3919,552,314,149,24 05-24~2506,385,196,100,39 05-29~4815,524,324,130,26 07-17~60733,932,257,113,38 05-05~3376,288,0,0,0 06-26~8040,745,360,197,45 07-07~7328,416,189,84,14 07-11~4674,535,274,139,40 06-09~6179,538,341,115,19 07-08~5130,510,278,125,35 06-10~6685,617,365,163,27 06-15~5017,401,222,105,16 08-04~112558,6025,173,88,19 07-19~115908,562,223,107,49 06-01~3199,445,228,98,9 06-03~3661,458,268,120,15 05-02~6674,242,0,0,0 2026-06M~6112,984,541,248,34 07-26~12480,740,217,113,19 06-24~8124,596,235,133,40 2026-09~5232,822,300,140,38 06-08~4150,649,431,191,18 07-10~4510,567,268,141,50 08-12~55554,3599,197,114,35 06-20~5079,517,328,155,24 08-26~92474,6550,148,67,23 05-19~2268,396,186,91,30 all~4036828,217951,26602,14838,4161 05-16~2136,376,221,132,49 07-13~4754,536,250,130,47 05-12~2194,403,0,0,0 08-10~84800,5692,187,91,32 07-27~87994,3248,204,111,20 05-01~4693,308,0,0,0 09-02~3020,389,156,69,21 08-02~119923,7820,205,115,25 05-11~2278,329,0,0,0 08-05~111408,5034,202,101,36 07-04~5870,249,123,60,9 2026-06~132899,16258,9311,4847,917 06-07~4946,738,536,255,24 05-15~2287,403,215,103,47 06-22~12044,778,241,107,25 05-10~2176,303,0,0,0 09-01~3367,466,143,66,12 08-19~114124,4818,160,90,26 08-14~102377,5955,239,97,27 07-22~15224,932,229,123,38 07-05~5546,364,195,99,21 2026-08M~237374,15338,421,222,34 05-20~2307,394,204,108,40 2026-08~2838562,147861,5719,3078,994 05-18~2459,349,190,107,29 08-09~73652,4023,149,59,14 08-21~106841,5435,209,95,26 05-06~2783,327,0,0,0 08-17~124594,6749,171,82,14 07-14~4360,526,270,145,51 07-29~121192,6836,381,179,22 06-18~4638,392,239,118,40 08-23~108145,5148,174,98,27 07-23~19134,1051,266,128,19 06-13~5629,380,225,126,32 06-17~4304,367,212,96,14 07-31~120366,7083,228,113,28 06-29~5275,505,257,136,33 08-11~113535,7490,221,149,62 07-03~6404,497,233,128,44 07-06~6174,410,195,114,14 06-12~7352,420,239,127,25 06-11~9992,642,312,140,24 07-09~4788,588,355,148,44 06-21~4863,339,174,84,11 06-04~5059,605,382,179,23 2026-05~54444,10544,4092,2190,733 05-14~2190,333,178,87,23 08-01~119643,7658,216,104,7 05-17~2292,319,188,111,35 08-13~31534,2499,303,144,56 06-05~4254,754,523,231,15 08-18~114205,5135,177,79,25 05-25~2465,420,224,122,45 08-25~101847,5609,149,70,18 05-09~2386,310,0,0,0
agomuk.com|all~1138,106,4,2,0 08-04~30,1,0,0,0 08-12~79,6,0,0,0 08-06~142,17,0,0,0 08-13~3,0,0,0,0 08-05~51,4,0,0,0 08-07~174,14,0,0,0 08-09~152,16,3,1,0 2026-08~1138,106,4,2,0 08-17~1,0,0,0,0 08-10~159,19,1,1,0 08-03~16,2,0,0,0 08-11~151,12,0,0,0 08-08~184,15,0,0,0
argentina-bonusesfinder.com|2026-05~4,3,3,2,1 05-17~2,1,1,1,0 07-04~1,0,0,0,0 06-14~2,0,0,0,0 05-19~1,0,0,0,0 2026-06~3,1,0,0,0 05-24~2,0,0,0,0 05-28~1,0,0,0,0 06-01~2,0,0,0,0 05-21~1,0,0,0,0 05-30~1,0,0,0,0 05-23~1,0,0,0,0 05-04~1,0,0,0,0 05-26~1,0,0,0,0 2026-06M~2,0,0,0,0 05-14~1,1,1,0,0 05-20~1,1,0,0,0 05-29~1,0,0,0,0 all~4,3,3,3,1 06-15~1,0,0,0,0 05-16~1,0,0,0,0 08-31~1,0,0,0,0 06-11~1,1,0,0,0 05-31~2,1,1,0,0 05-25~1,0,0,0,0 06-30~1,0,0,0,0 2026-07~1,0,0,0,0 06-03~2,0,0,0,0 05-18~1,0,0,0,0 2026-08~1,0,0,0,0
askbonus.com|08-08~1,1,0,0,0 08-24~1,1,1,1,1 07-17~5,5,3,1,0 08-26~2,1,1,0,0 2026-08~12,12,9,3,1 2026-08M~3,3,3,1,0 08-10~1,1,1,1,0 08-11~2,2,1,0,0 07-15~2,2,2,2,0 2026-07~18,17,13,3,0 08-25~1,0,0,0,0 08-17~1,1,1,0,0 07-20~2,2,2,0,0 07-24~1,1,1,0,0 08-01~3,3,3,1,0 07-26~1,1,1,0,0 07-16~1,1,0,0,0 all~29,28,21,6,1 07-19~1,0,0,0,0 07-18~4,4,2,0,0 07-29~2,2,2,0,0 08-13~1,1,1,0,0 08-06~1,1,0,0,0
at.casino.online|05-20~6,1,1,0,0 06-18~1,0,0,0,0 07-07~1,0,0,0,0 08-26~1,1,1,0,0 05-12~2,0,0,0,0 08-17~1,1,0,0,0 06-07~3,1,1,0,0 06-14~1,0,0,0,0 06-13~1,1,1,0,0 05-31~2,1,1,0,0 05-26~3,1,1,0,0 08-03~2,0,0,0,0 2026-06~29,11,10,3,0 05-07~3,2,0,0,0 06-30~1,1,1,0,0 05-29~1,0,0,0,0 05-28~4,0,0,0,0 2026-06M~6,3,3,1,0 08-18~1,1,0,0,0 07-04~1,0,0,0,0 06-01~2,1,0,0,0 05-23~5,3,2,0,0 05-11~2,0,0,0,0 05-24~7,4,2,0,0 06-06~1,0,0,0,0 06-03~2,0,0,0,0 05-08~2,2,0,0,0 05-03~7,2,0,0,0 2026-08~5,3,1,0,0 07-23~1,1,1,0,0 05-02~2,2,0,0,0 05-09~2,1,0,0,0 2026-07~9,1,1,0,0 05-30~5,4,4,0,0 06-12~1,0,0,0,0 2026-05~87,48,24,3,0 06-11~5,2,1,0,0 06-09~1,0,0,0,0 06-23~1,0,0,0,0 05-18~1,0,0,0,0 05-16~10,4,3,1,0 06-05~1,1,1,1,0 05-22~2,1,0,0,0 08-16~1,0,0,0,0 05-14~4,3,2,1,0 05-06~1,0,0,0,0 2026-08M~1,0,0,0,0 05-01~2,2,0,0,0 05-04~3,2,0,0,0 07-24~1,0,0,0,0 06-27~1,0,0,0,0 06-08~1,0,0,0,0 07-01~2,0,0,0,0 06-04~2,1,1,1,0 05-19~4,3,3,0,0 2026-07M~4,0,0,0,0 05-10~1,1,0,0,0 07-03~1,0,0,0,0 06-24~1,0,0,0,0 06-10~3,1,1,0,0 05-25~4,3,2,0,0 08-02~1,0,0,0,0 05-13~2,1,1,0,0 06-15~1,0,0,0,0 all~108,61,34,7,0 06-20~1,0,0,0,0 2026-05M~4,4,0,0,0 05-27~4,1,1,0,0 05-15~3,1,0,0,0 06-02~5,2,2,1,0 06-29~1,0,0,0,0 05-05~1,1,0,0,0 05-17~1,0,0,0,0 07-06~1,0,0,0,0 07-02~2,0,0,0,0 05-21~6,2,1,0,0
ausking.online|05-22~1,1,1,1,0 06-04~1,1,1,0,0 2026-05~6,6,5,4,0 2026-06~1,1,1,0,0 all~6,6,5,4,0 05-24~1,0,0,0,0 05-30~1,1,1,1,0 05-23~5,5,3,2,0
beacons.ai|08-01~6,1,1,1,0 08-02~10,4,1,0,0 08-08~4,1,0,0,0 06-05~2,0,0,0,0 05-08~4,2,0,0,0 07-02~7,0,0,0,0 07-12~3,0,0,0,0 06-06~1,0,0,0,0 all~108,100,35,28,14 08-26~4,0,0,0,0 05-23~2,0,0,0,0 07-31~11,1,1,1,1 07-18~5,1,0,0,0 08-25~8,0,0,0,0 2026-07~29,16,7,5,2 06-14~4,2,2,2,1 06-23~3,0,0,0,0 08-09~10,3,0,0,0 05-13~6,4,2,1,0 07-05~4,0,0,0,0 08-31~8,1,0,0,0 07-20~5,0,0,0,0 07-25~5,1,0,0,0 05-27~3,1,0,0,0 06-15~5,3,2,1,0 07-08~2,0,0,0,0 05-02~3,2,0,0,0 06-10~2,0,0,0,0 08-05~6,1,0,0,0 08-18~6,2,0,0,0 05-09~5,4,0,0,0 06-28~2,0,0,0,0 07-01~1,0,0,0,0 06-12~7,2,2,2,1 2026-06M~7,4,1,1,1 07-24~8,2,2,1,0 06-22~5,1,1,1,0 08-04~11,1,0,0,0 05-12~6,4,0,0,0 09-02~10,5,2,2,1 06-08~4,1,0,0,0 06-20~5,1,0,0,0 05-01~1,0,0,0,0 07-07~4,0,0,0,0 05-24~3,1,0,0,0 06-27~3,0,0,0,0 06-17~4,0,0,0,0 2026-05~70,69,8,7,2 07-28~4,0,0,0,0 06-26~3,1,0,0,0 07-22~8,2,0,0,0 07-21~4,0,0,0,0 07-17~5,0,0,0,0 08-11~7,0,0,0,0 07-13~2,0,0,0,0 08-10~8,2,1,1,1 07-03~4,0,0,0,0 07-23~3,1,1,0,0 05-14~7,4,0,0,0 06-21~6,3,1,1,1 08-06~9,1,0,0,0 08-12~6,0,0,0,0 06-29~2,1,1,1,0 08-19~4,0,0,0,0 07-14~4,1,0,0,0 06-19~3,0,0,0,0 2026-08M~13,5,2,1,0 06-09~3,0,0,0,0 2026-07M~7,0,0,0,0 08-14~7,0,0,0,0 08-13~6,0,0,0,0 05-25~4,1,0,0,0 08-20~4,0,0,0,0 08-21~6,1,1,0,0 08-22~2,0,0,0,0 2026-09M~13,5,2,2,1 08-30~7,2,1,1,0 06-11~3,0,0,0,0 05-31~2,0,0,0,0 07-10~3,0,0,0,0 07-16~5,1,0,0,0 07-09~3,0,0,0,0 06-04~3,0,0,0,0 05-30~3,0,0,0,0 06-24~1,0,0,0,0 08-15~7,0,0,0,0 06-16~4,1,0,0,0 05-20~3,0,0,0,0 06-01~4,2,0,0,0 07-19~6,1,0,0,0 06-18~4,0,0,0,0 05-22~3,0,0,0,0 05-26~6,3,0,0,0 07-30~6,1,0,0,0 06-25~4,1,1,0,0 06-07~2,0,0,0,0 05-05~9,7,0,0,0 05-16~6,3,1,1,1 06-30~5,0,0,0,0 05-07~6,5,0,0,0 05-18~5,0,0,0,0 08-29~6,0,0,0,0 2026-06~26,19,11,9,5 07-06~3,1,0,0,0 06-02~5,2,1,1,1 05-28~3,0,0,0,0 05-04~9,7,0,0,0 07-27~7,1,1,1,0 07-15~4,2,1,1,0 2026-09~13,5,2,2,1 07-11~3,0,0,0,0 05-15~6,2,2,2,1 05-21~6,2,1,1,0 05-11~9,4,0,0,0 09-01~5,0,0,0,0 05-19~3,0,0,0,0 05-06~10,8,0,0,0 05-10~8,5,0,0,0 07-29~6,2,0,0,0 08-24~2,0,0,0,0 2026-08~37,20,9,6,1 08-23~3,0,0,0,0 2026-05M~3,2,0,0,0 08-17~7,1,0,0,0 08-03~9,3,2,1,0 05-03~8,7,0,0,0 08-28~5,0,0,0,0 08-07~9,1,1,1,0 07-26~4,0,0,0,0 08-16~7,1,1,1,0 05-17~4,1,1,1,0 07-04~3,1,1,1,0 08-27~5,0,0,0,0 05-29~2,1,1,0,0 06-03~3,0,0,0,0
bestcrypto4u.com|05-22~1,0,0,0,0 05-06~3,2,0,0,0 07-04~1,0,0,0,0 2026-06~3,0,0,0,0 05-05~1,0,0,0,0 2026-06M~2,0,0,0,0 05-12~2,2,0,0,0 06-01~2,0,0,0,0 07-02~1,0,0,0,0 05-16~1,0,0,0,0 06-04~1,0,0,0,0 05-31~1,1,1,0,0 2026-07~2,0,0,0,0 05-17~1,0,0,0,0 05-29~1,1,1,0,0 05-14~2,1,1,1,0 05-03~1,0,0,0,0 2026-05~15,11,5,3,0 2026-05M~1,1,0,0,0 05-02~1,0,0,0,0 05-13~2,1,1,1,0 05-07~1,0,0,0,0 05-24~1,1,1,1,0 05-08~1,0,0,0,0 05-04~3,1,0,0,0 05-01~1,1,0,0,0 2026-07M~1,0,0,0,0 all~18,11,5,3,0 05-30~1,0,0,0,0
