k|packed
B|100549771_471860|jack-8655652~06-18~10~44 jack-3531663~06-19~10~17 jack-5099871~06-19~10~4 fortune-9793185~05-17~10~11556 fortune-1487141~08-29~10~2554 jack-2573888~05-14~10~76094 fortune-8188661~08-29~10~1 fortune-3640586~08-01~10~99767 jack-9973546~05-17~00~2 fortune-0859861~08-10~10~12
B|100657402_465780|-~06-07~00~1 fortune-5615402~05-21~10~69737 fortune-9086078~06-26~11~97
B|100714138_465827|jack-9748260~05-18~10~52533 jack-4823578~05-20~10~5 Stoffatzerichter~05-27~10~44402
B|100714138_497964|jack-1905376~07-14~10~1 jack-1485948~08-26~10~18 fortune-1550478~09-01~00~20 fortune-9855420~08-03~10~5 jack-5456114~06-08~00~2 -~08-10~00~0 jack-0871680~08-17~10~7 fortune-7698516~07-18~00~5 Tr3nchkid~08-07~10~35996 -~08-26~00~2 Alexgamelex~08-31~11~27 jack-1391336~08-18~11~4380 jack-9428413~08-09~10~10 jack-8972048~08-15~10~138
B|100714138_497965|fortune-9203212~07-24~10~6 fortune-0460718~06-26~00~8154 jack-5440242~08-23~10~2644 jack-7911151~09-02~10~50 fortune-1082413~07-08~10~5 jack-6140984~06-19~10~3 jack-4603540~08-19~10~5 jack-6167949~08-05~00~2 fortune-6385968~08-18~00~15645 jack-6216637~06-11~10~6802 fortune-1879013~08-17~10~164 Jolda9881~07-20~10~834
B|100790946_465852|fortune-3041894~05-23~00~58004 jack-4016178~07-05~10~60219 jack-0841430~06-26~11~5236 fortune-7913650~08-06~00~1 jack-2490943~06-06~10~67 jack-5894864~05-18~10~2 fortune-9067591~06-29~11~654 Switcha~07-21~10~6105 -~07-29~00~1 Rattanakorn999~08-26~10~9 fortune-3652299~05-23~10~3 jack-8912039~08-22~11~792 jack-3248527~07-20~11~1553
B|101232044_493603|jack-1269516~05-15~11~14262 jack-2384997~05-15~11~56082 jack-2622426~05-25~11~1111 jack-5034351~05-19~11~26342 fortune-1341897~05-17~11~142 fortune-2490941~05-20~11~1835 -~05-20~00~0 fortune-3428189~05-29~10~4544 jack-0133805~05-16~11~2364 fortune-1893906~05-25~11~3054 ruben1726~05-17~00~1 -~05-15~00~1 fortune-5282838~05-24~00~2 -~05-19~00~0 jack-1960319~05-17~11~10257 jack-8570184~05-16~11~914 fortune-5902728~05-17~11~13392 -~05-23~00~1 jack-0063645~05-22~11~2999 jack-1129250~05-29~11~3 jack-5929917~05-17~11~345 -~05-15~00~1 jack-7326309~05-15~11~1181 fortune-3146765~05-21~10~7417 jack-4213970~05-19~11~136 jack-2560866~05-15~11~4340 -~05-19~00~0 fortune-3192112~05-19~11~4385 jack-6406051~05-25~11~229 fortune-3528251~05-29~11~1550 fortune-2531700~05-24~11~181 fortune-0807698~05-21~11~190 jack-9454184~05-23~11~118 jack-7207876~05-20~11~2753 fortune-4962957~05-15~11~85956 -~05-27~00~7 fortune-2045555~05-21~11~135 fortune-1511815~05-21~11~36113 fortune-8026831~05-17~11~10209 fortune-5726472~05-24~11~1883 fortune-0211275~05-24~11~52 fortune-8927878~05-15~11~30196 fortune-0815567~05-15~11~60 fortune-4881493~05-15~10~32 fortune-8500085~05-25~11~39585 fortune-9113670~05-19~11~6097 fortune-4515679~05-17~11~18650 jack-1902409~05-27~11~31 -~05-19~00~733 -~05-24~00~0 fortune-1240901~05-22~11~8 -~05-19~00~1 -~05-24~00~0 fortune-4114674~05-24~11~185 jack-3288431~05-24~11~30396 fortune-8088964~05-15~11~55 fortune-7059436~05-19~11~464
B|101401470_486641|jack-0935825~06-10~10~1954 fortune-0012094~07-05~10~6 jack-6378954~07-03~11~4322 jack-1369266~06-19~11~25 -~06-10~00~0 jack-2608041~06-16~10~1 fortune-4554017~06-22~11~22850 fortune-2973452~06-23~11~22958 jack-5371278~07-03~11~23250 jack-7333799~06-27~11~1446 fortune-6534112~06-19~10~1234 fortune-1883617~06-23~11~23220 jack-4649342~06-14~11~3074 jack-7394349~06-27~11~33235 jack-3236408~06-10~10~6 jack-1552210~06-18~11~35 jack-1624886~06-16~10~10 jack-5340802~06-24~11~1498 jack-9557328~07-03~11~5880 Alequisandre~07-03~11~1657 fortune-8432934~06-28~11~27464 jack-5232909~06-15~10~2460 Barbf26~07-03~11~28805 fortune-6225279~06-11~11~195 fortune-3608107~06-27~11~45 -~06-10~00~0 jack-9442496~06-16~00~74 fortune-0496894~07-05~00~42 jack-0748989~07-03~11~212 fortune-2746110~06-20~11~2416 jack-6494693~06-26~11~32 jack-4242443~06-27~11~1513 fortune-2633969~06-26~10~333 jack-7243207~06-13~11~353 jack-4382258~06-28~11~2218 fortune-2351144~06-17~11~14640 jack-1947299~07-05~11~3 fortune-4266560~06-21~11~35 jack-4723739~06-12~11~24597 fortune-6410923~06-26~11~1079 jack-6973700~06-18~11~91 jack-1699772~06-18~11~13408 jack-3589195~06-27~11~262 jack-0201426~07-05~11~1103 jack-9923286~06-26~11~12 jack-5846589~06-23~11~841 fortune-2597346~06-26~11~2 fortune-0833342~06-25~11~34 -~06-18~00~0 jack-2519847~07-05~00~89 fortune-2097117~07-07~11~8395 jack-8998856~06-19~11~673 jack-8597026~06-18~11~1228 jack-8887184~07-03~11~106 fortune-6708184~06-25~11~6328 jack-1991259~06-24~11~66 jack-0217954~06-16~11~1846 jack-2138507~06-10~11~55121 jack-0863591~06-22~11~23887 andredaniel~06-24~11~19 -~06-25~00~0 jack-6567255~06-15~11~2236 fortune-8514908~06-18~11~7214 fortune-5307814~06-10~10~0 jack-0528109~06-27~10~2283 jack-9551085~07-03~11~49 jack-9414688~06-27~00~0 fortune-7272299~06-19~11~5 jack-2122436~06-23~11~59198 fortune-2189923~06-15~11~350 jack-0378501~06-13~11~1104 fabio_2001~07-03~11~85258 jack-4666274~06-24~11~1740 fortune-5291610~06-25~11~11484 fortune-3191598~07-03~11~3003 jack-0955965~06-19~10~172 fortune-1907587~06-25~11~3420 fortune-3766607~06-23~11~919 fortune-3267238~07-03~00~1 jack-0726205~06-18~11~90 -~06-23~00~2 fortune-3813515~06-19~11~239 fortune-4323647~06-16~10~1 fortune-9221104~06-21~11~6 jack-7962589~06-19~11~58729 fortune-1976561~06-12~11~10 fortune-2553306~06-27~11~4473 fortune-0302567~06-20~11~8 fortune-2757626~06-15~11~1175 jack-9847700~07-03~11~231 -~06-12~00~1 -~06-16~00~1 jack-8962857~06-18~11~32713 fortune-6565907~06-16~11~266 jack-1294886~06-15~11~1438 jack-5230651~06-14~11~1409 -~06-12~00~0 jack-1041818~06-22~11~114 fortune-6856995~06-14~11~29077 jack-4662370~06-17~11~95 fortune-0115494~06-25~11~5702 jack-1194915~06-28~11~47796 fortune-3182458~07-03~11~222 jack-0550678~06-10~11~6704 fortune-4897191~07-05~11~3 fortune-5664058~07-03~11~5913 jack-6405576~06-18~11~50 jack-9781490~07-05~10~102 jack-4952503~06-10~10~1164 jack-6258873~06-16~11~1603 ed-filipe~06-27~11~1962 jack-6976360~06-16~11~49 jack-9019207~06-10~11~34652 jack-3902854~06-27~11~9034 jack-2848304~06-21~11~3 fortune-7913103~06-25~11~11482 jack-7071801~06-10~11~8 jack-3426282~06-12~10~480 fortune-7679238~06-25~11~43 jack-2440002~06-19~11~20 fortune-4235967~07-06~11~17 fortune-7746751~06-25~10~6 fortune-5630017~06-22~11~1003 fortune-3690179~06-10~10~2950 jack-9556624~06-24~11~9016 fortune-5220878~06-11~11~68 jack-2017984~06-25~11~474 fortune-9998842~06-27~10~33311 jack-2353450~06-19~11~1542 jack-9787450~06-12~11~2998 jack-4516242~06-19~11~5809 jack-1497735~06-19~11~29 CONSTANCA123~06-15~00~1 -~06-11~00~0 fortune-5910623~06-13~11~1553 fortune-9968250~07-06~11~620 jack-9040743~06-16~11~19713 fortune-8519518~06-10~00~1 fortune-1895300~06-16~11~654 fortune-8924707~07-03~10~0 fortune-7554865~06-27~11~2736 fortune-5342979~06-15~10~241 jack-4107188~07-03~11~1703 rica42069~06-12~10~22
B|101401470_491917|-~05-19~00~1 jack-4922336~05-25~11~176 jack-2565277~05-23~11~71 jack-2349772~05-21~11~76574 fortune-8530221~05-27~11~139 fortune-8904892~05-26~11~53228 fortune-3168334~05-21~11~34845 jack-9428659~05-22~11~1433 jack-4117866~05-17~11~4278 jack-6861087~05-14~11~10980 jack-4919924~05-13~11~62277 -~05-20~00~1 jack-5373141~05-15~11~107 calapez~05-17~11~74837 -~05-20~00~8 jack-9934118~05-23~00~1 -~05-26~00~25 jack-0679675~05-20~11~1024 jack-3208019~05-23~11~107 fortune-4003427~05-26~11~118 -~05-27~00~0 jack-0451193~05-15~11~53 jack-0744097~05-27~11~13 jack-9841668~05-23~11~2337 fortune-1728917~05-17~11~203 -~05-16~00~1 jack-8345306~05-23~11~1639 fortune-5014712~05-14~11~46 -~05-23~00~0 fortune-2138891~05-17~11~2130 fortune-5797428~05-16~11~113 fortune-3075689~05-15~11~84 fortune-7293691~05-23~11~324 -~05-15~00~0 jack-1098406~05-15~11~124 jack-2903710~05-24~11~5960 fortune-1715768~05-15~11~79 fortune-1003017~05-16~11~49397 -~05-21~00~0 Andrecorreia22~05-19~00~1072 fortune-8700059~05-15~11~17247 fortune-5644320~05-25~11~619 fortune-4828642~05-27~11~5310 fortune-7553053~05-22~11~51 dixthree43~05-22~11~296 fortune-5384471~05-16~11~90856 -~05-16~00~2 jack-7572329~05-20~11~20 fortune-6561079~06-19~00~43221 jack-4790352~05-23~11~1417 jack-8397279~05-18~11~55 fortune-1341222~05-21~11~1432 fortune-6203973~05-28~11~205 fortune-6127284~05-21~11~72 fortune-5799567~05-25~11~26833 fortune-7324971~05-16~11~46 fortune-2045445~05-13~11~205 jack-0680791~05-27~11~31676 fortune-6728918~05-17~11~66463 -~05-16~00~5 fortune-8259357~05-28~11~5 jack-1928046~05-15~11~515 jack-5312179~05-23~11~1714 jack-1261568~05-17~11~82554 jack-1130571~05-19~11~154 jack-6402615~05-24~11~17 fortune-7175870~05-19~00~8 fortune-8334138~05-23~11~2676 -~05-23~00~0 -~05-17~00~0 fortune-9413015~05-19~11~19159 fortune-9281739~05-21~11~436 jack-2330194~05-22~11~520 jack-3298854~05-25~11~34 jack-7658138~05-21~11~144 fortune-2968625~05-27~11~126 jack-4070696~05-20~11~151138 jack-8994517~05-24~11~359 jack-6848974~05-16~11~332 jack-5398725~05-27~10~6 fortune-7040887~05-24~11~72 jack-8684371~05-21~11~2822 jack-8334674~05-16~11~1396 fortune-1822316~05-23~10~2 fortune-2135212~05-16~00~120 jack-5188280~05-21~11~19 fortune-6093936~05-24~11~346 fortune-2076911~05-25~11~1422 -~05-19~00~0 jack-8915031~05-23~00~129 -~05-26~00~43344 jack-0642188~05-17~11~82476 jack-3419270~05-26~11~87781 fortune-1101719~05-17~10~3 fortune-1405842~05-27~10~119478 fortune-8478372~05-17~11~85466 fortune-8984316~05-26~00~2676 jack-7759745~05-15~11~17462 -~05-15~00~1 fortune-8091068~05-16~11~1797 fortune-3291254~05-23~10~1 fortune-3334480~05-23~11~529
B|101558256_470708|jack-6129960~08-08~10~1 fortune-0590117~07-30~10~260 jack-1029906~07-19~00~1 fortune-4715872~08-11~00~0 fortune-4679139~07-23~10~4 fortune-0858968~08-06~00~172 jack-1207077~08-09~10~14 jack-4804650~07-26~10~30 fortune-1368653~08-02~00~6 -~08-10~00~0 fortune-4164751~07-29~00~4 fortune-9560343~07-27~11~320 jack-4718423~08-02~00~1 jack-2971980~07-26~00~1 jack-8906417~08-12~00~1 -~07-25~00~0 fortune-0125813~08-10~10~6 fortune-4792063~08-11~00~1192 fortune-2081500~08-06~00~2 fortune-7076068~08-16~00~3 -~08-08~00~0 jack-8580380~08-11~10~6 fortune-0492726~07-24~10~1476 jack-9245878~08-12~00~3
