k|packed
B|100068894_461165|all~0,0,1,0 05-20~0,0,1,0 2026-05~0,0,1,0
B|100068894_461166|2026-06~0,0,1,0 06-09~0,0,1,0 all~0,0,1,0
B|100345656_463820|all~1,0,1,1 2026-06~0,0,1,1
B|100549771_471860|2026-06~0,0,2,0 all~0,0,5,0 06-19~0,0,1,0 06-18~0,0,1,0 2026-08~0,0,2,0 08-29~0,0,2,0 2026-05~0,0,1,0 05-17~0,0,1,0
B|100657402_465780|all~1,1,0,0 06-26~1,1,0,0 2026-06~1,1,0,0
B|100714138_497964|2026-08~5,2,0,0 08-31~1,1,0,0 08-09~1,0,0,0 08-17~1,0,0,0 08-26~1,0,0,0 08-18~1,1,0,0 all~5,2,0,0
B|100714138_497965|all~3,0,0,0 07-20~1,0,0,0 07-24~1,0,0,0 2026-08~1,0,0,0 2026-07~2,0,0,0 08-23~1,0,0,0
B|100790946_465852|07-21~1,0,0,0 08-22~1,0,0,0 2026-06~2,2,1,0 06-26~1,0,0,0 2026-08~1,1,0,0 07-05~1,0,0,0 2026-07~3,1,0,0 all~6,4,1,0 06-29~1,1,1,0
B|101232044_493603|05-24~1,1,5,5 2026-05~2,2,31,31 05-19~0,0,3,3 05-22~0,0,2,2 05-17~0,0,5,5 05-15~0,0,4,4 05-25~0,0,3,3 05-23~0,0,1,1 05-16~0,0,2,2 05-21~0,0,2,2 05-20~0,0,2,2 05-27~0,0,1,1 all~2,2,31,31
B|101401470_486641|06-13~0,0,3,3 2026-07~0,0,14,13 06-26~0,0,2,2 07-05~0,0,1,1 all~6,4,72,67 06-15~1,1,3,2 06-19~2,1,4,4 2026-06~6,4,58,54 06-25~0,0,5,5 06-16~1,1,3,3 06-20~1,1,1,1 07-03~0,0,8,8 07-07~0,0,1,1 06-14~0,0,1,0 06-27~0,0,5,4 06-12~1,0,0,0 06-23~0,0,3,3 06-21~0,0,2,2 06-24~0,0,3,2 06-28~0,0,1,1 06-10~0,0,3,2 06-17~0,0,2,2 07-06~0,0,1,1 06-18~0,0,6,6 06-11~0,0,2,2 06-22~0,0,2,2
B|101401470_491917|05-21~0,0,7,6 05-18~0,0,1,1 2026-05~1,1,56,56 05-25~0,0,3,3 05-16~0,0,3,3 all~6,6,58,58 05-14~0,0,1,1 05-17~0,0,6,6 05-15~0,0,7,7 05-23~0,0,7,7 05-19~0,0,2,2 05-22~0,0,4,4 05-13~0,0,1,1 05-20~0,0,1,1 05-24~0,0,2,2 05-27~0,0,3,3 05-26~0,0,2,2
B|101558256_470708|08-11~0,0,1,0 2026-08~1,0,1,0 07-27~1,1,0,0 all~3,1,1,0 2026-07~2,1,0,0 07-24~1,0,0,0 08-10~1,0,0,0
B|101575715_493605|05-17~0,0,6,6 05-18~0,0,4,4 05-25~0,0,4,4 2026-05~1,1,33,32 06-03~0,0,1,1 all~3,2,35,34 05-26~0,0,1,1 05-24~0,0,2,2 2026-06~0,0,1,1 05-20~0,0,5,5 05-22~0,0,5,5 2026-07~0,0,1,1
