country|packed
Afghanistan|$direct~2026-06~5,0,0,0,0,0,0,0,0 www.google.com~2026-05~7,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~11,3,1,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~11,3,1,0,0,0,0,0,0
Albania|instagram.com~2026-08~3,1,0,0,0,0,0,0,0 m.facebook.com~2026-07~3,1,0,0,0,0,0,0,0 $direct~2026-06~16,10,3,3,2,0,0,3,2 $direct~2026-08~27,6,3,0,0,0,0,0,0 fortunejack.com~2026-05~15,4,2,1,0,0,0,0,0 fortunejack.com~2026-06~41,14,6,5,1,2,0,1,1 fortunejack.com~2026-09~10,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~8,0,0,0,0,0,0,0,0 www.google.com~2026-06~7,2,0,0,0,0,0,0,0 instagram.com~2026-07~9,3,0,0,0,0,0,0,0 www.google.com~2026-05~10,3,0,0,0,0,0,0,0 $direct~2026-05~18,5,1,1,1,1,1,0,0 t.co~2026-08~3,3,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-09~7,2,0,0,0,0,0,0,0 fortunejack.com~2026-08~91,29,8,5,4,0,0,3,3 fortunejack.com~2026-07~94,42,26,16,15,0,0,1,0 $direct~2026-07~16,7,4,3,2,0,0,1,1
Algeria|m.facebook.com~2026-06~8,2,2,2,0,0,0,0,0 www.google.com~2026-06~7,1,1,0,0,0,0,0,0 fortunejack.com~2026-06~81,38,21,10,1,1,0,3,1 t.co~2026-08~3,1,0,0,0,0,0,0,0 www.google.com~2026-08~5,2,1,1,0,0,0,1,0 l.facebook.com~2026-05~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~13,1,1,1,0,1,0,0,0 $direct~2026-06~62,20,16,4,0,0,0,0,0 l.facebook.com~2026-06~8,1,1,0,0,0,0,0,0 l.facebook.com~2026-07~5,0,0,0,0,0,0,0,0 www.google.com~2026-05~22,2,1,1,0,0,0,0,0 $direct~2026-09~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~99,40,29,7,0,0,0,0,0 $direct~2026-05~40,4,2,1,0,0,0,1,0 $direct~2026-07~47,19,12,4,0,0,0,1,0 fortunejack.com~2026-05~27,5,1,0,0,0,0,0,0 fortunejack.com~2026-08~102,21,14,6,0,0,0,0,0 t.co~2026-06~4,1,1,0,0,0,0,0,0 $direct~2026-08~36,6,4,4,3,0,0,3,3 www.google.com~2026-07~4,1,1,1,0,0,0,0,0
Andorra|fortunejack.com~2026-07~4,0,0,0,0,0,0,0,0
Angola|instagram.com~2026-06~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~3,1,1,1,0,0,0,0,0 m.facebook.com~2026-07~6,4,1,1,0,0,0,0,0 l.facebook.com~2026-06~6,2,2,2,0,0,0,1,0 fortunejack.com~2026-06~12,6,3,1,0,0,0,1,0 m.facebook.com~2026-06~19,12,5,4,0,0,0,0,0
Antarctica|fortunejack.com~2026-08~4,0,0,0,0,0,0,0,0
Argentina|instagram.com~2026-05~180,73,56,28,4,0,0,7,4 www.pendejeando.net~2026-07~786,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-05~29,7,5,2,0,0,0,1,0 keitaro.fortunejack.com~2026-08~3,2,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-08~5,1,1,1,0,0,0,0,0 www.erome.com~2026-06~271,0,0,0,0,0,0,0,0 www.google.com~2026-05~45,18,15,1,0,0,0,0,0 go1.3mre.work~2026-06~765,23,5,1,0,0,0,0,0 fortunejack.com~2026-06~3383,506,311,196,51,3,0,82,46 keitaro.fortunejack.com~2026-06~56,7,6,3,0,0,0,1,0 es.casino.guru~2026-05~9,3,1,1,0,0,0,0,0 l.instagram.com~2026-05~11,10,7,4,2,0,0,3,2 se.erome.com~2026-06~4,0,0,0,0,0,0,0,0 www.instagram.com~2026-07~3,1,1,0,0,0,0,0,0 m.facebook.com~2026-08~35,20,10,4,0,0,0,0,0 es.vegas-expert.com~2026-05~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~68106,701,209,135,64,1,0,68,45 tracker-pm2.fortunejackpartners.com~2026-06~273,19,13,5,0,0,0,1,0 todays-bonus.com~2026-07~30,7,3,2,0,0,0,0,0 t.co~2026-08~4,3,3,1,0,0,0,1,0 fortunejack.com~2026-05~154,73,44,27,16,0,0,14,12 com.google.android.gm~2026-05~51,7,1,1,0,0,0,0,0 argentina-bonusesfinder.com~2026-05~4,3,3,2,1,0,0,1,1 www.google.com~2026-07~20,5,4,3,0,0,0,0,0 pt.erome.com~2026-06~150,0,0,0,0,0,0,0,0 m-xnxx.com~2026-07~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~8,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-07~15,3,3,2,0,0,0,0,0 l.facebook.com~2026-08~72,18,7,7,0,0,0,3,0 tracker-pm2.fortunejackpartners.com~2026-07~25,5,1,1,0,0,0,1,0 todays-bonus.com~2026-06~32,7,0,0,0,0,0,0,0 instagram.com~2026-06~680,172,117,56,0,1,0,13,0 instagram.com~2026-07~169,55,39,22,0,0,0,2,0 argentina-bonusesfinder.com~2026-06~3,1,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-05~40,6,5,1,0,0,0,0,0 com.google.android.gm~2026-06~55,20,8,8,0,0,0,1,0 com.google.android.gm~2026-08~6,0,0,0,0,0,0,0,0 es.erome.com~2026-06~323,0,0,0,0,0,0,0,0 t.co~2026-07~4,2,1,0,0,0,0,0,0 www.tumegadescargas.com~2026-07~212,0,0,0,0,0,0,0,0 l.facebook.com~2026-06~824,37,28,17,0,0,0,4,0 url7982.transactions.fortunejack.com~2026-05~3,1,0,0,0,0,0,0,0 m.facebook.com~2026-05~201,70,36,14,0,1,0,5,0 www.askgamblers.com~2026-07~5,5,3,2,0,0,0,0,0 com.google.android.gm~2026-07~36,7,2,2,0,0,0,1,0 go1.trakit28.com~2026-07~121,1,0,0,0,0,0,0,0 l.facebook.com~2026-07~659,56,5,3,0,0,0,1,0 hu.erome.com~2026-06~4,0,0,0,0,0,0,0,0 m.facebook.com~2026-07~182,82,41,25,0,0,0,3,0 instagram.com~2026-08~39,17,9,7,0,0,0,3,0 www.instagram.com~2026-05~4,2,2,0,0,0,0,0,0 fortunejack.com~2026-08~591,163,123,82,52,1,0,35,23 www.instagram.com~2026-06~7,3,3,2,0,0,0,0,0 www.google.com~2026-06~36,6,4,2,1,0,0,0,0 $direct~2026-05~295,139,49,33,16,1,0,14,9 es.3hentai.net~2026-07~81,0,0,0,0,0,0,0,0 $direct~2026-07~8582,148,105,76,47,0,0,49,37 it.erome.com~2026-06~5,0,0,0,0,0,0,0,0 $direct~2026-06~834,239,187,121,32,0,0,48,29 redhandsvid.com~2026-06~7,0,0,0,0,0,0,0,0 $direct~2026-09~8,0,0,0,0,0,0,0,0 topcomicporno.com~2026-07~12,0,0,0,0,0,0,0,0 m.facebook.com~2026-06~1475,310,191,97,0,2,0,16,0 www.google.com~2026-09~5,1,0,0,0,0,0,0,0 www.google.com~2026-08~22,3,3,2,2,0,0,1,1 www1.maxcine.net~2026-07~2184,0,0,0,0,0,0,0,0 l.facebook.com~2026-05~40,13,9,2,0,0,0,0,0 t.co~2026-06~6,4,3,0,0,0,0,0,0 $direct~2026-08~126,58,45,31,25,1,1,8,7
Armenia|$direct~2026-09~32,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~67,16,10,5,4,0,0,1,1 www.google.com~2026-06~11,1,1,1,1,0,0,1,1 fortunejack.com~2026-09~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~27,9,5,2,1,0,0,1,1 $direct~2026-08~93,2,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 www.google.com~2026-05~23,5,1,1,1,0,0,1,1 fortunejack.com~2026-08~44,5,3,2,2,0,0,2,2 $direct~2026-05~308,10,5,0,0,0,0,0,0 $direct~2026-06~262,4,3,2,1,0,0,0,0 fortunejack.com~2026-06~52,10,6,2,1,0,0,0,0 $direct~2026-07~165,1,1,0,0,0,0,0,0
Australia|ezchthere.xyz~2026-05~32,32,18,11,1,1,1,2,0 t.co~2026-07~4,1,0,0,0,0,0,0,0 instagram.com~2026-07~11,0,0,0,0,0,0,0,0 zieweh.com~2026-07~33,2,0,0,0,0,0,0,0 l.facebook.com~2026-07~526,12,5,2,0,0,0,1,0 keitaro.fortunejack.com~2026-08~12,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~2571,1147,54,19,5,4,0,6,3 www.google.com~2026-08~9,0,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-06~16,1,1,0,0,0,0,0,0 com.google.android.gm~2026-05~39,4,1,1,0,1,0,1,0 keitaro.fortunejack.com~2026-05~26,4,2,1,0,0,0,0,0 fortunejack.com~2026-05~249,59,29,10,2,2,1,0,0 www.nodeposithero.com~2026-05~3,2,1,0,0,0,0,0,0 facebook.com~2026-07~4,1,0,0,0,0,0,0,0 go1.3mre.work~2026-06~57,2,0,0,0,0,0,0,0 l.facebook.com~2026-08~242,39,0,0,0,0,0,0,0 facebook.com~2026-05~3,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~53,9,6,3,0,0,0,0,0 url8039.fortunejack.com~2026-05~6,1,0,0,0,0,0,0,0 t.co~2026-08~3,1,0,0,0,0,0,0,0 ezchthere.xyz~2026-06~4,3,0,0,0,0,0,0,0 nostrabet.com~2026-08~3,3,2,0,0,0,0,0,0 www.bing.com~2026-05~16,0,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-07~5,0,0,0,0,0,0,0,0 instagram.com~2026-05~60,18,11,5,1,0,0,1,1 tracker-pm2.fortunejackpartners.com~2026-08~6,0,0,0,0,0,0,0,0 hottopcasino.com~2026-06~5,5,3,1,0,0,0,1,0 instagram.com~2026-08~3,1,0,0,0,0,0,0,0 ehagur.com~2026-07~7,1,0,0,0,0,0,0,0 $direct~2026-07~187,11,4,3,0,0,0,0,0 facebook.com~2026-06~15,3,0,0,0,0,0,0,0 m.facebook.com~2026-07~105,14,5,3,0,0,0,0,0 instagram.com~2026-06~59,4,2,1,0,0,0,1,0 chipy.com~2026-05~5,4,2,1,0,0,0,0,0 st.nagada.click~2026-07~30,0,0,0,0,0,0,0,0 www.nodeposithero.com~2026-06~3,3,2,1,0,0,0,0,0 dydioo.com~2026-07~5,0,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-06~45,1,0,0,0,0,0,0,0 m.facebook.com~2026-06~322,40,21,11,0,2,0,6,0 go1.trakit33.com~2026-08~41,22,0,0,0,0,0,0,0 dihedi.com~2026-07~6,1,0,0,0,0,0,0,0 www.freeextrachips.com~2026-05~7,6,4,1,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-05~25,5,4,1,0,0,0,0,0 fortunejack.com~2026-06~9833,243,112,59,12,9,4,14,7 url7982.transactions.fortunejack.com~2026-07~4,0,0,0,0,0,0,0,0 www.sofascore.com~2026-07~14,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-06~5,1,0,0,0,0,0,0,0 casinobee.com~2026-08~7,7,3,2,0,1,0,1,0 go1.trakit33.com~2026-09~3,3,0,0,0,0,0,0,0 www.google.com~2026-05~45,12,4,2,1,1,0,1,1 bitcoinchaser.com~2026-05~4,4,1,1,0,0,0,0,0 $direct~2026-09~15,0,0,0,0,0,0,0,0 hottopcasino.com~2026-07~3,2,1,0,0,0,0,0,0 fortunejack.com~2026-09~197,115,3,2,0,0,0,0,0 $direct~2026-06~1297,47,11,5,2,2,2,0,0 com.google.android.gm~2026-07~19,1,1,0,0,0,0,0,0 chipy.com~2026-06~3,1,0,0,0,0,0,0,0 www.google.com~2026-06~25,4,3,1,0,1,0,0,0 st.kinopous.top~2026-08~10,6,0,0,0,0,0,0,0 crownaussies.best~2026-05~9,8,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~15,2,2,2,0,0,0,1,0 t.co~2026-06~3,2,1,0,0,0,0,0,0 go1.3mre.work~2026-07~147,13,0,0,0,0,0,0,0 www.freeextrachips.com~2026-06~4,3,3,1,0,0,0,0,0 www.google.com~2026-07~12,3,0,0,0,0,0,0,0 l.facebook.com~2026-05~641,25,12,2,0,0,0,0,0 ausking.online~2026-05~6,6,5,4,0,0,0,0,0 $direct~2026-05~176,41,15,13,2,1,0,3,1 l.instagram.com~2026-07~4,2,0,0,0,0,0,0,0 com.google.android.gm~2026-06~26,0,0,0,0,0,0,0,0 coincodex.com~2026-06~5,0,0,0,0,0,0,0,0 st.kinopous.top~2026-07~9,5,0,0,0,0,0,0,0 australia-bonusesfinder.com~2026-05~3,2,1,1,0,0,0,0,0 $direct~2026-08~69,10,3,0,0,0,0,0,0 l.facebook.com~2026-06~1262,17,10,4,0,0,0,0,0 m.facebook.com~2026-05~223,46,27,12,0,0,0,3,0 com.google.android.gm~2026-08~6,0,0,0,0,0,0,0,0 www.sofascore.com~2026-06~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~12630,1248,137,73,12,12,4,14,7
Austria|tracker-pm2.fortunejackpartners.com~2026-06~3,1,0,0,0,0,0,0,0 www.google.com~2026-08~7,1,0,0,0,0,0,0,0 url8039.fortunejack.com~2026-06~7,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-08~6,0,0,0,0,0,0,0,0 $direct~2026-09~48,15,1,1,0,0,0,0,0 c.amazon-adsystem.com~2026-08~5,3,0,0,0,0,0,0,0 instagram.com~2026-06~27,8,7,3,0,0,0,0,0 com.google.android.gm~2026-08~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-05~10,2,1,0,0,0,0,0,0 $direct~2026-05~135,22,8,5,3,1,0,3,3 srt.bitcoin.com~2026-06~3,3,3,0,0,0,0,0,0 cdn.bmcdn5.com~2026-05~12,1,0,0,0,0,0,0,0 $direct~2026-06~1002,29,14,7,5,0,0,3,3 fortunejack.com~2026-05~220,48,15,6,3,2,2,1,1 keitaro.fortunejack.com~2026-06~3,0,0,0,0,0,0,0,0 www.pornhub.com~2026-08~5,1,0,0,0,0,0,0,0 at.casino.online~2026-06~8,4,4,2,0,0,0,0,0 www.google.com~2026-07~23,1,0,0,0,0,0,0,0 www.freundin.de~2026-08~3,1,0,0,0,0,0,0,0 instagram.com~2026-05~29,6,3,1,0,0,0,0,0 www.askgamblers.com~2026-05~6,5,1,0,0,0,0,0,0 at.casino.online~2026-05~19,9,3,1,0,0,0,0,0 www.slotozilla.com~2026-05~4,2,1,1,0,0,0,0,0 www.google.com~2026-05~27,11,6,4,3,0,0,0,0 blockchainwelt.de~2026-05~3,2,0,0,0,0,0,0,0 $direct~2026-07~226,14,10,6,5,1,0,4,4 aax.amazon-adsystem.com~2026-08~41,22,0,0,0,0,0,0,0 fortunejack.com~2026-07~2915,722,74,57,43,13,8,14,11 tracker-pm2.fortunejackpartners.com~2026-05~8,1,0,0,0,0,0,0,0 www.google.com~2026-06~25,1,1,1,1,0,0,0,0 www.protipster.hr~2026-06~3,3,0,0,0,0,0,0,0 t.co~2026-06~4,4,4,0,0,0,0,0,0 www.slotozilla.com~2026-07~5,0,0,0,0,0,0,0,0 m.facebook.com~2026-08~17,3,1,1,0,0,0,0,0 cdn.bmcdn6.com~2026-05~10,1,1,0,0,0,0,0,0 track.adform.net~2026-08~3,1,0,0,0,0,0,0,0 www.sofascore.com~2026-07~4,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-05~9,0,0,0,0,0,0,0,0 t.co~2026-07~3,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~45,7,2,0,0,0,0,0,0 com.google.android.gm~2026-06~26,3,0,0,0,0,0,0,0 com.google.android.gm~2026-07~19,0,0,0,0,0,0,0,0 instagram.com~2026-08~9,3,1,1,0,1,0,0,0 www.sofascore.com~2026-08~31,1,0,0,0,0,0,0,0 m.facebook.com~2026-07~20,3,1,1,0,0,0,1,0 m.facebook.com~2026-06~38,8,3,2,0,0,0,0,0 www.sofascore.com~2026-06~8,1,0,0,0,0,0,0,0 com.google.android.gm~2026-05~27,2,0,0,0,0,0,0,0 l.facebook.com~2026-08~25,13,2,2,0,1,0,0,0 fortunejack.com~2026-06~3311,137,85,46,16,7,4,11,8 fortunejack.com~2026-08~7612,1637,74,58,32,6,4,24,19 de.pornhub.com~2026-08~5,4,0,0,0,0,0,0,0 m.facebook.com~2026-05~25,2,0,0,0,0,0,0,0 l.facebook.com~2026-07~30,0,0,0,0,0,0,0,0 l.facebook.com~2026-06~66,14,1,1,0,0,0,0,0 $direct~2026-08~3434,1593,14,13,11,0,0,8,8
