country|packed
Afghanistan|www.google.com~2026-05~3,0,0,0,0,0,0,0,0
Albania|fortunejack.com~2026-08~6,1,0,0,0,0,0,0,0 instagram.com~2026-08~3,1,0,0,0,0,0,0,0 $direct~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-09~7,2,0,0,0,0,0,0,0 www.google.com~2026-07~3,0,0,0,0,0,0,0,0 $direct~2026-08~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-09~10,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~6,1,0,0,0,0,0,0,0
Algeria|fortunejack.com~2026-09~13,1,1,1,0,1,0,0,0 $direct~2026-09~10,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~19,5,3,2,0,0,0,0,0 $direct~2026-07~22,11,5,0,0,0,0,0,0 fortunejack.com~2026-05~9,0,0,0,0,0,0,0,0 $direct~2026-08~11,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~27,13,11,1,0,0,0,0,0 $direct~2026-05~16,0,0,0,0,0,0,0,0 $direct~2026-06~19,1,1,1,0,0,0,0,0 l.facebook.com~2026-07~3,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~10,0,0,0,0,0,0,0,0
Angola|m.facebook.com~2026-07~6,4,1,1,0,0,0,0,0
Argentina|tracker-pm2.fortunejackpartners.com~2026-06~6,2,0,0,0,0,0,0,0 todays-bonus.com~2026-07~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~71,29,18,14,6,0,0,5,4 instagram.com~2026-07~30,7,4,3,0,0,0,2,0 com.google.android.gm~2026-06~9,4,2,2,0,0,0,0,0 m.facebook.com~2026-07~58,23,9,6,0,0,0,1,0 fortunejack.com~2026-06~26,8,5,5,0,0,0,2,0 l.facebook.com~2026-08~10,3,0,0,0,0,0,0,0 www.google.com~2026-08~3,0,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-07~7,1,1,0,0,0,0,0,0 $direct~2026-07~26,15,11,9,2,0,0,5,2 com.google.android.gm~2026-07~5,2,0,0,0,0,0,0,0 fortunejack.com~2026-08~88,14,10,8,6,0,0,6,5 l.facebook.com~2026-06~5,2,2,1,0,0,0,0,0 m.facebook.com~2026-08~4,1,0,0,0,0,0,0,0 instagram.com~2026-06~40,11,7,3,0,0,0,1,0 www.google.com~2026-06~9,2,2,1,0,0,0,0,0 l.facebook.com~2026-07~217,1,0,0,0,0,0,0,0 m.facebook.com~2026-05~18,1,0,0,0,0,0,0,0 fortunejack.com~2026-05~9,0,0,0,0,0,0,0,0 www.google.com~2026-09~5,1,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~6,1,1,1,0,0,0,1,0 www.google.com~2026-07~4,0,0,0,0,0,0,0,0 $direct~2026-05~22,3,0,0,0,0,0,0,0 instagram.com~2026-05~20,3,0,0,0,0,0,0,0 com.google.android.gm~2026-05~4,0,0,0,0,0,0,0,0 m.facebook.com~2026-06~61,31,21,14,0,0,0,0,0 $direct~2026-08~18,4,3,0,0,0,0,0,0 instagram.com~2026-08~9,3,3,2,0,0,0,1,0 $direct~2026-09~8,0,0,0,0,0,0,0,0 fortunejack.com~2026-09~8,0,0,0,0,0,0,0,0 $direct~2026-06~48,13,8,3,0,0,0,0,0
Armenia|$direct~2026-09~32,0,0,0,0,0,0,0,0 www.google.com~2026-05~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~4,0,0,0,0,0,0,0,0 fortunejack.com~2026-08~6,1,1,1,1,0,0,1,1 fortunejack.com~2026-09~3,0,0,0,0,0,0,0,0 www.google.com~2026-06~5,1,1,1,1,0,0,1,1 $direct~2026-08~9,0,0,0,0,0,0,0,0 $direct~2026-05~21,0,0,0,0,0,0,0,0 $direct~2026-07~18,0,0,0,0,0,0,0,0 fortunejack.com~2026-07~10,6,4,4,4,0,0,0,0 $direct~2026-06~23,2,1,1,1,0,0,0,0
Australia|go1.trakit33.com~2026-09~3,3,0,0,0,0,0,0,0 $direct~2026-08~16,0,0,0,0,0,0,0,0 com.google.android.gm~2026-05~5,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~153,1,0,0,0,0,0,0,0 fortunejack.com~2026-08~288,126,4,2,1,1,0,1,1 fortunejack.com~2026-09~197,115,3,2,0,0,0,0,0 www.google.com~2026-06~4,1,1,1,0,1,0,0,0 l.facebook.com~2026-06~210,1,0,0,0,0,0,0,0 com.google.android.gm~2026-06~4,0,0,0,0,0,0,0,0 st.kinopous.top~2026-08~4,1,0,0,0,0,0,0,0 tracker-pm2.fortunejackpartners.com~2026-07~3,0,0,0,0,0,0,0,0 l.facebook.com~2026-05~30,1,0,0,0,0,0,0,0 fortunejack.com~2026-07~1193,100,8,3,1,0,0,2,1 $direct~2026-05~37,2,0,0,0,0,0,0,0 l.facebook.com~2026-08~9,0,0,0,0,0,0,0,0 fortunejack.com~2026-06~31,6,3,1,0,0,0,1,0 go1.3mre.work~2026-07~33,7,0,0,0,0,0,0,0 $direct~2026-07~58,2,2,2,0,0,0,0,0 instagram.com~2026-05~9,0,0,0,0,0,0,0,0 m.facebook.com~2026-07~28,6,2,1,0,0,0,0,0 $direct~2026-09~15,0,0,0,0,0,0,0,0 m.facebook.com~2026-05~16,3,0,0,0,0,0,0,0 keitaro.fortunejack.com~2026-05~6,0,0,0,0,0,0,0,0 fortunejack.com~2026-05~12,1,0,0,0,0,0,0,0 $direct~2026-06~31,1,0,0,0,0,0,0,0 m.facebook.com~2026-06~11,2,1,1,0,0,0,0,0
Austria|$direct~2026-06~15,1,1,1,1,0,0,1,1 www.askgamblers.com~2026-05~3,2,0,0,0,0,0,0,0 fortunejack.com~2026-07~114,9,8,7,4,2,0,2,2 $direct~2026-09~48,15,1,1,0,0,0,0,0 fortunejack.com~2026-09~45,7,2,0,0,0,0,0,0 fortunejack.com~2026-08~1137,257,4,1,0,1,0,0,0 m.facebook.com~2026-05~7,0,0,0,0,0,0,0,0 $direct~2026-08~24,1,0,0,0,0,0,0,0 fortunejack.com~2026-05~22,3,0,0,0,0,0,0,0 $direct~2026-05~29,4,0,0,0,0,0,0,0 com.google.android.gm~2026-06~3,0,0,0,0,0,0,0,0 www.google.com~2026-07~5,1,0,0,0,0,0,0,0 fortunejack.com~2026-06~41,5,1,1,1,0,0,1,1 m.facebook.com~2026-06~3,0,0,0,0,0,0,0,0 cdn.bmcdn5.com~2026-05~4,0,0,0,0,0,0,0,0 com.google.android.gm~2026-07~4,0,0,0,0,0,0,0,0 at.casino.online~2026-05~3,3,0,0,0,0,0,0,0 com.google.android.gm~2026-05~3,1,0,0,0,0,0,0,0 www.google.com~2026-06~5,0,0,0,0,0,0,0,0 $direct~2026-07~55,0,0,0,0,0,0,0,0 l.facebook.com~2026-07~10,0,0,0,0,0,0,0,0 instagram.com~2026-06~4,2,2,1,0,0,0,0,0
Azerbaijan|fortunejack.com~2026-07~4,3,3,3,3,0,0,1,1 fortunejack.com~2026-08~9,3,2,0,0,0,0,0,0
Bangladesh|fortunejack.com~2026-09~6,0,0,0,0,0,0,0,0 $direct~2026-09~4,0,0,0,0,0,0,0,0
