btag|paths|landing|packed
100549771_471860|1|00000027:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|05-17~2,2,2,1,0 05-27~1,1,0,0,0 06-26~1,1,0,0,0 07-14~1,1,0,0,0 08-04~1,0,0,0,0 08-29~2,2,2,2,0 08-01~1,1,1,0,0 05-19~1,1,0,0,0 08-10~1,1,1,1,0 05-22~1,1,0,0,0 05-10~1,1,0,0,0 05-21~1,1,0,0,0 05-15~1,1,0,0,0 07-09~1,1,0,0,0 05-14~1,1,1,1,0 06-01~1,1,0,0,0 06-27~1,1,0,0,0 05-08~1,1,0,0,0 07-11~1,0,0,0,0 06-18~2,2,1,1,0 08-22~1,1,0,0,0 06-06~1,1,0,0,0 07-21~1,1,0,0,0 06-19~3,3,2,2,0 06-13~1,1,0,0,0 07-06~1,1,0,0,0 05-16~1,1,0,0,0 all~27,27,10,9,0
100657402_465780|1|00000007:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|08-28~1,1,0,0,0 05-21~1,1,1,0,0 06-26~1,1,1,1,1 all~7,5,3,2,1 06-06~1,0,0,0,0 05-13~1,1,0,0,0 06-07~2,1,1,0,0
100714138_465827|2|00000004:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000010:/de/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|05-09~2,2,0,0,0 06-05~1,1,0,0,0 05-02~1,1,0,0,0 06-15~1,1,0,0,0 06-16~1,1,0,0,0 all~14,14,3,3,0 05-27~2,2,1,0,0 05-20~1,1,1,1,0 05-06~1,1,0,0,0 06-03~1,1,0,0,0 05-31~1,1,0,0,0 05-14~1,1,0,0,0 05-08~1,0,0,0,0 05-07~1,1,0,0,0 05-12~1,1,0,0,0 05-10~1,1,0,0,0 05-18~1,1,1,0,0
100714138_497964|2|00000013:/ 00000027:/de|08-05~1,1,0,0,0 06-15~1,1,0,0,0 07-18~1,1,1,0,0 08-04~3,0,0,0,0 06-25~1,1,0,0,0 08-10~1,1,1,0,0 07-12~1,1,0,0,0 06-24~1,1,0,0,0 07-19~1,0,0,0,0 08-23~1,0,0,0,0 08-18~1,1,1,1,1 08-02~1,0,0,0,0 07-03~1,1,0,0,0 06-21~1,1,0,0,0 08-15~2,1,1,1,0 07-06~1,0,0,0,0 08-29~1,0,0,0,0 06-17~1,0,0,0,0 07-14~1,1,1,1,0 08-07~3,2,1,1,0 06-08~1,1,1,0,0 06-16~2,1,0,0,0 06-22~2,2,0,0,0 07-27~1,1,0,0,0 08-16~1,0,0,0,0 07-31~1,0,0,0,0 08-17~1,1,1,1,0 08-09~3,1,1,1,0 08-26~2,2,2,1,0 06-18~1,1,0,0,0 08-22~1,0,0,0,0 08-08~1,0,0,0,0 07-28~2,1,0,0,0 08-03~1,1,1,1,0 all~40,23,12,8,1
100714138_497965|2|00000001:/tr 00000019:/|07-17~1,1,0,0,0 06-11~1,1,1,1,0 08-17~1,1,1,1,0 06-18~1,1,0,0,0 06-19~1,1,1,1,0 07-16~1,0,0,0,0 all~20,15,11,8,0 07-08~1,1,1,1,0 07-31~1,0,0,0,0 07-10~1,1,0,0,0 06-26~1,1,1,0,0 08-18~1,1,1,0,0 07-07~1,0,0,0,0 08-16~1,0,0,0,0 08-19~1,1,1,1,0 07-24~1,1,1,1,0 07-20~2,2,1,1,0 08-02~1,0,0,0,0 07-29~1,0,0,0,0 08-23~1,1,1,1,0 08-25~1,0,0,0,0 08-05~1,1,1,0,0 08-29~1,1,0,0,0
100790946_465852|2|00000010:/no/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000025:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|06-14~2,2,0,0,0 07-29~1,1,1,0,0 06-26~1,1,1,1,0 08-23~1,0,0,0,0 08-22~1,1,1,1,0 08-06~2,2,1,0,0 07-24~1,1,0,0,0 08-28~1,1,0,0,0 05-17~1,1,0,0,0 07-19~1,1,0,0,0 07-18~1,1,0,0,0 07-08~1,1,0,0,0 08-13~1,1,0,0,0 06-22~1,1,0,0,0 05-18~1,1,1,1,0 07-22~1,0,0,0,0 06-10~1,1,0,0,0 05-14~1,1,0,0,0 06-21~1,1,0,0,0 07-21~1,1,1,1,0 07-28~1,1,0,0,0 06-24~2,2,0,0,0 08-29~1,1,0,0,0 08-07~1,1,0,0,0 08-15~1,1,0,0,0 05-02~1,1,0,0,0 06-27~1,0,0,0,0 05-07~1,1,0,0,0 07-06~1,1,0,0,0 08-26~1,1,1,1,0 05-23~2,2,2,1,0 06-06~1,1,1,1,0 06-29~1,1,1,1,1 07-05~1,1,1,1,0 07-20~2,2,1,1,1 07-14~1,1,0,0,0 all~35,35,13,10,4
101232044_493603|2|00000006:/special-bonus/up-to-200 00000080:/pt/special-bonus/up-to-200|05-17~9,9,7,6,6 05-19~19,18,9,5,5 05-22~4,2,2,2,2 05-25~7,6,4,3,3 05-15~15,15,11,9,7 05-27~3,3,2,1,1 05-26~1,1,0,0,0 05-24~13,12,8,5,5 05-23~4,4,2,1,1 05-16~4,3,2,2,2 06-14~1,1,0,0,0 05-18~4,3,0,0,0 05-29~4,4,3,3,2 05-20~9,7,3,2,2 06-01~2,0,0,0,0 05-21~16,13,4,3,3 all~86,86,57,44,41
101401470_486641|5|00000002:/fr/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000003:/es/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000004:/de/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000019:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000238:/pt/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|07-09~6,5,0,0,0 07-04~2,0,0,0,0 06-27~25,25,12,10,8 05-15~4,3,0,0,0 05-03~2,2,0,0,0 05-09~2,2,0,0,0 06-04~2,1,0,0,0 05-20~2,2,0,0,0 05-17~3,2,0,0,0 05-25~4,4,0,0,0 05-28~2,1,0,0,0 07-22~3,1,0,0,0 06-10~24,22,12,9,3 05-14~3,3,0,0,0 06-07~4,3,0,0,0 06-08~4,3,0,0,0 05-24~4,3,0,0,0 07-06~8,8,2,2,2 06-24~11,10,5,4,3 07-13~3,3,0,0,0 06-29~12,12,0,0,0 06-18~16,15,9,8,8 05-13~2,2,0,0,0 05-05~3,2,0,0,0 06-03~3,3,0,0,0 07-03~31,31,16,13,12 05-27~2,1,0,0,0 06-26~16,16,5,5,4 05-02~2,2,0,0,0 06-17~8,8,2,2,2 06-30~4,4,0,0,0 05-12~4,3,0,0,0 05-23~4,4,0,0,0 07-01~3,3,0,0,0 06-11~12,10,3,2,2 06-23~17,15,6,5,5 07-31~1,1,0,0,0 08-01~1,1,0,0,0 06-13~7,7,3,3,3 06-14~12,11,3,3,2 06-22~13,11,4,3,3 07-14~4,3,0,0,0 07-19~2,2,0,0,0 05-16~1,1,0,0,0 07-05~17,15,8,4,3 07-23~1,1,0,0,0 05-04~5,4,0,0,0 05-08~1,1,0,0,0 06-05~3,3,0,0,0 06-15~19,18,7,6,3 06-28~15,14,3,3,3 07-08~2,1,0,0,0 07-11~2,2,0,0,0 05-21~5,4,0,0,0 05-07~3,2,0,0,0 06-19~19,18,12,10,8 05-18~4,3,0,0,0 06-21~12,12,3,3,3 05-31~2,1,0,0,0 05-29~1,1,0,0,0 07-26~1,1,0,0,0 05-06~2,2,0,0,0 06-20~11,9,2,2,2 06-09~1,1,0,0,0 05-11~2,2,0,0,0 05-26~4,3,0,0,0 05-01~2,2,0,0,0 07-20~2,1,0,0,0 07-02~2,2,0,0,0 06-25~19,19,10,8,7 07-10~6,6,0,0,0 05-22~4,3,0,0,0 05-19~3,3,0,0,0 06-01~2,2,0,0,0 07-16~2,2,0,0,0 07-17~3,2,0,0,0 06-12~13,13,7,5,3 06-02~1,1,0,0,0 05-10~4,4,0,0,0 07-07~11,10,1,1,1 06-16~20,20,11,9,6 all~266,262,144,128,107
101401470_491917|5|00000001:/es/special-bonus/up-to-200 00000003:/fr/special-bonus/up-to-200 00000006:/de/special-bonus/up-to-200 00000006:/special-bonus/up-to-200 00000230:/pt/special-bonus/up-to-200|05-22~10,10,4,4,4 05-07~2,2,0,0,0 06-23~1,1,0,0,0 05-04~4,4,0,0,0 06-08~1,0,0,0,0 07-03~1,1,0,0,0 06-20~3,3,0,0,0 06-03~1,1,0,0,0 07-12~2,1,0,0,0 05-09~18,17,0,0,0 05-15~12,12,10,8,8 05-26~16,14,6,3,3 05-24~21,21,5,4,4 05-11~24,24,0,0,0 05-12~5,5,0,0,0 06-30~1,1,0,0,0 07-11~2,2,0,0,0 05-10~8,8,0,0,0 06-11~1,1,0,0,0 05-02~10,10,0,0,0 05-01~14,13,0,0,0 05-18~5,4,1,1,1 05-28~5,4,2,2,1 05-25~17,17,5,5,5 05-30~1,1,0,0,0 05-20~10,9,5,2,2 06-26~1,0,0,0,0 07-14~3,3,0,0,0 07-08~2,2,0,0,0 06-19~1,1,0,0,0 06-25~3,3,0,0,0 05-17~17,16,10,8,7 05-13~3,3,2,2,2 06-21~1,1,0,0,0 05-27~13,12,8,7,5 06-02~2,1,0,0,0 05-23~29,29,15,10,7 05-14~2,2,2,1,1 05-19~6,6,6,2,2 07-02~1,1,0,0,0 06-01~1,1,0,0,0 06-04~1,1,0,0,0 05-21~15,15,9,8,7 05-05~1,1,0,0,0 05-16~13,13,11,7,7 06-24~1,1,0,0,0 06-10~2,2,0,0,0 05-31~2,2,0,0,0 05-03~4,4,0,0,0 all~246,244,102,79,74
101558256_470708|2|00000018:/es/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000048:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|08-19~2,2,0,0,0 07-29~2,2,1,0,0 07-26~3,3,2,1,0 all~66,64,24,9,1 08-16~4,4,1,0,0 07-13~1,1,0,0,0 08-03~2,2,0,0,0 07-25~2,2,1,0,0 05-09~1,1,0,0,0 05-03~1,1,0,0,0 08-13~1,1,0,0,0 07-21~1,1,0,0,0 07-19~1,1,1,0,0 07-23~3,3,1,1,0 08-11~5,5,3,1,0 08-02~4,4,2,0,0 07-12~1,1,0,0,0 07-24~2,2,1,1,0 08-09~2,2,1,1,0 08-01~2,1,0,0,0 08-08~6,6,2,1,0 07-30~1,1,1,1,0 07-27~1,1,1,1,1 05-01~1,1,0,0,0 08-10~7,6,2,1,0 08-12~4,4,2,0,0 07-18~1,0,0,0,0 08-06~2,2,2,0,0 08-07~3,2,0,0,0 08-17~2,1,0,0,0 08-05~3,3,0,0,0
