country|packed
Albania|06-10:10,1,0,0,0 06-25:20,1,1,0,0 07-03:11,6,5,2,2 07-13:10,2,1,0,0 07-19:11,2,2,1,1 07-21:10,3,1,1,1 07-24:11,4,1,0,0 07-25:11,4,2,1,1 07-26:11,3,0,0,0 07-27:11,1,1,1,1 07-29:18,5,0,0,0 07-30:10,2,1,1,1 07-31:12,4,3,1,1 08-04:10,3,0,0,0 08-09:27,6,0,0,0 08-10:12,5,3,2,2 08-14:10,3,2,0,0 08-15:11,1,0,0,0 08-18:13,1,0,0,0 08-19:13,0,0,0,0 08-20:11,2,0,0,0 08-21:10,0,0,0,0 08-22:10,1,1,1,0
Algeria|05-01:23,0,0,0,0 05-02:24,0,0,0,0 05-03:26,2,0,0,0 05-04:23,0,0,0,0 05-05:23,0,0,0,0 05-06:22,1,0,0,0 05-07:27,1,0,0,0 05-08:27,2,0,0,0 05-09:28,0,0,0,0 05-10:29,1,0,0,0 05-11:21,0,0,0,0 05-12:21,0,0,0,0 05-13:22,0,0,0,0 05-14:27,2,1,0,0 05-15:22,1,0,0,0 05-16:20,0,0,0,0 05-17:27,1,0,0,0 05-18:25,0,0,0,0 05-19:23,0,0,0,0 05-20:17,0,0,0,0 05-21:22,0,0,0,0 05-22:21,0,0,0,0 05-23:22,3,2,0,0 05-24:25,1,1,1,0 05-25:24,1,1,1,0 05-26:16,2,0,0,0 05-27:22,0,0,0,0 05-28:23,0,0,0,0 05-29:20,1,1,0,0 05-30:22,0,0,0,0 05-31:25,0,0,0,0 06-01:24,0,0,0,0 06-02:23,1,1,1,0 06-03:24,2,2,2,0 06-04:22,1,1,1,0 06-05:25,1,1,0,0 06-06:24,2,2,1,0 06-07:18,1,1,1,0 06-08:19,1,1,0,0 06-09:21,0,0,0,0 06-10:31,2,0,0,0 06-11:29,2,2,0,0 06-12:30,0,0,0,0 06-13:23,1,0,0,0 06-14:26,0,0,0,0 06-15:23,1,0,0,0 06-16:17,0,0,0,0 06-17:17,0,0,0,0 06-18:24,0,0,0,0 06-19:24,2,1,1,0 06-20:20,1,1,1,1 06-21:18,0,0,0,0 06-22:24,0,0,0,0 06-23:20,2,1,1,0 06-24:28,1,0,0,0 06-25:25,2,1,0,0 06-26:23,0,0,0,0 06-27:27,3,3,2,0 06-28:28,2,0,0,0 06-29:25,0,0,0,0 06-30:64,39,29,5,0 07-01:52,24,16,1,0 07-02:22,1,1,0,0 07-03:24,1,1,0,0 07-04:20,1,1,0,0 07-05:18,0,0,0,0 07-06:22,3,2,1,0 07-07:20,2,1,0,0 07-08:23,3,2,0,0 07-09:21,1,1,0,0 07-10:22,1,0,0,0 07-11:22,2,1,1,0 07-12:17,1,1,1,0 07-13:18,0,0,0,0 07-14:19,1,1,1,0 07-15:21,2,0,0,0 07-16:23,0,0,0,0 07-17:21,2,2,0,0 07-18:21,0,0,0,0 07-19:24,1,0,0,0 07-20:22,3,2,1,0 07-21:22,1,1,0,0 07-22:23,4,3,0,0 07-23:18,1,1,0,0 07-24:22,0,0,0,0 07-25:24,1,0,0,0 07-26:23,0,0,0,0 07-27:22,3,3,0,0 07-28:21,0,0,0,0 07-29:33,4,4,2,0 07-30:22,0,0,0,0 07-31:19,0,0,0,0 08-01:20,2,1,0,0 08-02:23,3,2,2,0 08-03:28,0,0,0,0 08-04:26,1,1,1,0 08-05:24,0,0,0,0 08-06:26,0,0,0,0 08-07:28,2,2,0,0 08-08:25,3,2,2,2 08-09:20,0,0,0,0 08-10:20,1,1,1,0 08-11:27,4,2,1,0 08-12:28,1,0,0,0 08-13:24,1,0,0,0 08-14:23,0,0,0,0 08-15:36,5,3,1,1 08-16:30,1,0,0,0 08-17:28,0,0,0,0 08-18:30,1,1,0,0 08-19:20,0,0,0,0 08-20:21,2,1,1,0 08-21:32,0,0,0,0 08-22:25,1,1,0,0 08-23:22,0,0,0,0 08-24:30,2,1,0,0 08-25:24,3,1,0,0 08-26:25,3,2,2,1 08-27:20,1,1,0,0 08-28:21,0,0,0,0 08-29:24,0,0,0,0
Argentina|05-01:44,5,0,0,0 05-02:43,4,0,0,0 05-03:69,20,0,0,0 05-04:50,9,0,0,0 05-05:47,13,0,0,0 05-06:34,4,0,0,0 05-07:32,7,0,0,0 05-08:32,7,0,0,0 05-09:37,14,0,0,0 05-10:53,27,0,0,0 05-11:37,8,0,0,0 05-12:60,21,0,0,0 05-13:53,10,6,5,4 05-14:33,8,7,4,0 05-15:54,19,14,9,6 05-16:94,57,45,30,13 05-17:56,15,12,7,2 05-18:52,9,9,6,1 05-19:39,7,1,0,0 05-20:43,6,3,1,0 05-21:29,4,2,0,0 05-22:41,6,4,1,0 05-23:66,21,17,2,0 05-24:35,7,2,1,0 05-25:31,4,2,1,0 05-26:27,5,2,2,0 05-27:97,25,19,4,0 05-28:134,42,33,14,0 05-29:99,31,23,7,0 05-30:71,13,9,4,0 05-31:107,45,28,6,0 06-01:77,23,18,13,0 06-02:144,51,29,16,0 06-03:180,63,48,24,4 06-04:320,71,51,25,8 06-05:330,96,73,29,3 06-06:447,118,92,54,0 06-07:366,111,90,56,14 06-08:229,67,48,28,11 06-09:224,39,28,12,0 06-10:295,55,38,13,0 06-11:723,58,32,15,1 06-12:540,39,24,12,1 06-13:325,59,44,24,4 06-14:173,16,11,5,1 06-15:298,27,15,9,0 06-16:221,25,16,7,3 06-17:388,40,21,12,0 06-18:503,33,20,14,0 06-19:571,22,14,8,0 06-20:528,31,18,8,0 06-21:561,17,5,1,0 06-22:1128,51,25,12,3 06-23:703,61,15,9,0 06-24:466,99,27,22,2 06-25:267,37,24,10,3 06-26:153,31,16,9,3 06-27:161,22,13,6,0 06-28:155,27,17,10,0 06-29:81,12,9,3,0 06-30:173,32,16,8,2 07-01:177,36,16,12,1 07-02:297,45,29,21,7 07-03:200,39,22,13,3 07-04:254,32,15,10,0 07-05:220,53,32,15,1 07-06:218,46,26,17,4 07-07:335,24,14,6,0 07-08:185,35,27,15,1 07-09:73,23,18,12,2 07-10:100,37,26,23,20 07-11:105,29,17,14,10 07-12:61,13,10,7,6 07-13:71,19,12,7,5 07-14:90,27,20,12,2 07-15:70,26,18,15,13 07-16:42,11,4,0,0 07-17:8245,40,9,6,3 07-18:12538,38,16,7,0 07-19:9832,20,8,2,2 07-20:5213,72,11,6,3 07-21:11649,126,12,6,4 07-22:4438,69,8,5,0 07-23:6054,78,9,4,0 07-24:6744,54,7,1,0 07-25:5077,50,7,1,0 07-26:4991,47,5,3,2 07-27:6345,54,5,3,0 07-28:147,11,5,3,0 07-29:105,13,10,1,0 07-30:91,10,2,2,0 07-31:82,10,9,7,1 08-01:73,8,4,1,0 08-02:68,17,12,9,6 08-03:81,11,6,4,3 08-04:71,16,10,3,0 08-05:55,12,10,3,1 08-06:63,13,8,6,6 08-07:71,20,16,10,5 08-08:61,21,18,14,10 08-09:30,1,0,0,0 08-10:60,29,24,20,13 08-11:79,27,22,18,17 08-12:77,22,8,5,3 08-13:100,43,23,15,1 08-14:39,5,3,2,0 08-15:51,14,10,6,1 08-16:36,6,1,0,0 08-17:37,5,3,1,0 08-18:35,4,4,2,1 08-19:34,7,7,3,1 08-20:36,10,6,0,0 08-21:29,8,6,1,1 08-22:35,8,6,4,4 08-23:26,1,0,0,0 08-24:15,1,1,1,1 08-25:23,0,0,0,0 08-26:24,2,0,0,0 08-27:26,1,0,0,0 08-28:24,3,3,1,0 08-29:24,2,0,0,0
Armenia|05-01:18,0,0,0,0 05-02:12,0,0,0,0 05-03:12,0,0,0,0 05-04:15,1,0,0,0 05-05:18,2,0,0,0 05-06:17,1,0,0,0 05-07:14,0,0,0,0 05-08:17,1,0,0,0 05-09:14,1,0,0,0 05-10:13,0,0,0,0 05-11:16,2,0,0,0 05-12:18,1,0,0,0 05-13:19,1,1,1,0 05-14:24,7,2,0,0 05-15:15,1,0,0,0 05-16:12,2,1,0,0 05-17:11,0,0,0,0 05-18:18,3,3,0,0 05-19:13,0,0,0,0 05-20:18,2,0,0,0 05-21:18,1,0,0,0 05-22:15,0,0,0,0 05-23:14,0,0,0,0 05-24:14,0,0,0,0 05-25:17,0,0,0,0 05-26:17,0,0,0,0 05-27:16,2,1,0,0 05-28:15,2,0,0,0 05-29:19,1,1,1,1 05-30:10,0,0,0,0 05-31:14,2,2,0,0 06-01:15,1,1,1,1 06-02:22,2,1,1,1 06-03:21,2,2,1,0 06-04:22,1,0,0,0 06-05:17,0,0,0,0 06-06:15,0,0,0,0 06-07:15,0,0,0,0 06-08:17,0,0,0,0 06-09:20,0,0,0,0 06-10:19,0,0,0,0 06-11:26,1,1,1,1 06-12:20,1,1,0,0 06-13:15,0,0,0,0 06-14:14,1,0,0,0 06-15:17,0,0,0,0 06-16:18,1,0,0,0 06-17:19,0,0,0,0 06-18:21,0,0,0,0 06-19:21,1,1,0,0 06-20:19,1,1,1,0 06-21:15,0,0,0,0 06-22:16,0,0,0,0 06-23:18,1,1,0,0 06-24:24,0,0,0,0 06-25:23,0,0,0,0 06-26:18,1,0,0,0 06-27:13,2,1,0,0 06-28:15,0,0,0,0 06-29:14,0,0,0,0 06-30:13,0,0,0,0 07-01:14,0,0,0,0 07-02:19,6,4,4,4 07-03:17,0,0,0,0 07-04:15,0,0,0,0 07-05:12,0,0,0,0 07-06:14,0,0,0,0 07-07:15,0,0,0,0 07-08:20,0,0,0,0 07-10:11,0,0,0,0 07-11:13,0,0,0,0 07-12:16,2,1,0,0 07-13:16,0,0,0,0 07-14:18,1,1,0,0 07-15:13,0,0,0,0 07-16:15,0,0,0,0 07-17:18,1,1,1,0 07-18:14,1,0,0,0 07-19:12,0,0,0,0 07-20:15,0,0,0,0 07-21:17,0,0,0,0 07-22:15,2,2,0,0 07-23:14,0,0,0,0 07-24:11,0,0,0,0 07-25:12,0,0,0,0 07-27:16,0,0,0,0 07-28:16,2,1,0,0 07-29:19,0,0,0,0 07-30:16,2,1,0,0 07-31:16,0,0,0,0 08-01:13,1,1,1,0 08-03:17,2,0,0,0 08-04:18,1,0,0,0 08-05:18,0,0,0,0 08-06:16,0,0,0,0 08-07:13,0,0,0,0 08-13:13,1,1,1,1 08-17:13,0,0,0,0 08-18:14,0,0,0,0 08-19:14,1,0,0,0 08-20:11,0,0,0,0 08-25:10,0,0,0,0 08-26:11,0,0,0,0 08-28:10,0,0,0,0
Australia|05-01:65,4,0,0,0 05-02:66,5,0,0,0 05-03:65,7,0,0,0 05-04:40,0,0,0,0 05-05:44,6,0,0,0 05-06:24,3,0,0,0 05-07:32,5,0,0,0 05-08:41,6,0,0,0 05-09:46,11,0,0,0 05-10:31,7,0,0,0 05-11:54,8,0,0,0 05-12:36,11,0,0,0 05-13:60,17,1,0,0 05-14:46,10,6,2,0 05-15:42,8,6,3,0 05-16:49,10,7,2,0 05-17:96,14,9,5,1 05-18:76,15,11,6,0 05-19:79,16,8,4,0 05-20:93,21,17,7,0 05-21:86,9,2,0,0 05-22:103,11,8,3,0 05-23:77,11,7,6,0 05-24:114,13,7,1,0 05-25:87,17,9,4,0 05-26:30,5,4,3,0 05-27:69,12,6,3,1 05-28:278,21,13,3,0 05-29:185,10,5,1,0 05-30:143,15,9,6,1 05-31:190,11,5,1,0 06-01:135,6,5,2,0 06-02:193,8,2,2,0 06-03:215,8,2,0,0 06-04:143,9,5,0,0 06-05:128,7,4,1,1 06-06:123,11,8,0,0 06-07:161,12,7,4,1 06-08:136,11,5,3,0 06-09:220,13,7,4,0 06-10:418,20,11,3,0 06-11:880,32,10,6,3 06-12:614,8,3,1,0 06-13:652,14,5,1,1 06-14:740,11,6,3,1 06-15:495,6,3,1,0 06-16:414,16,4,2,0 06-17:370,10,7,2,0 06-18:430,10,4,1,0 06-19:574,19,9,4,1 06-20:679,10,4,1,0 06-21:594,15,7,4,0 06-22:483,9,4,4,1 06-23:668,15,10,4,2 06-24:590,9,3,3,0 06-25:951,23,11,5,0 06-26:1072,21,10,3,0 06-27:1159,15,5,4,0 06-28:1015,22,8,3,0 06-29:693,13,5,2,0 06-30:639,19,3,2,0 07-01:450,15,5,2,0 07-02:1100,103,8,4,1 07-03:1016,59,4,2,1 07-04:374,8,4,3,0 07-05:407,12,2,1,0 07-06:920,55,7,5,0 07-07:1002,60,5,1,0 07-08:935,66,5,3,0 07-09:1000,61,6,3,0 07-10:856,76,14,9,1 07-11:918,79,11,9,0 07-12:947,72,10,4,1 07-13:788,45,5,1,0 07-14:706,29,6,3,0 07-15:761,49,7,2,0 07-16:617,42,4,3,1 07-17:543,59,4,2,0 07-18:529,53,4,1,0 07-19:638,71,7,3,1 07-20:524,44,4,2,1 07-21:482,37,5,1,0 07-22:416,25,7,1,1 07-23:52,4,3,2,0 07-24:108,28,2,1,0 07-25:149,35,5,4,1 07-26:143,43,2,1,0 07-27:128,32,3,2,1 07-28:108,20,2,1,0 07-29:137,35,5,2,2 07-30:112,24,3,2,0 07-31:118,34,2,1,0 08-01:171,62,3,1,0 08-02:175,66,2,1,1 08-03:131,34,1,0,0 08-04:200,65,0,0,0 08-05:214,53,1,0,0 08-06:68,9,2,0,0 08-07:156,61,4,2,0 08-08:187,92,4,3,1 08-09:231,98,0,0,0 08-10:236,113,4,0,0 08-11:181,33,1,0,0 08-12:77,5,3,2,0 08-13:109,24,3,0,0 08-14:103,23,4,0,0 08-15:186,56,4,2,1 08-16:306,122,5,4,0 08-17:134,35,3,0,0 08-18:57,3,1,0,0 08-19:31,3,3,1,1 08-20:33,3,2,1,1 08-21:49,8,4,4,0 08-22:33,5,3,1,0 08-23:34,2,1,0,0 08-24:30,0,0,0,0 08-25:27,5,2,0,0 08-26:28,1,0,0,0 08-27:51,17,4,1,1 08-28:83,38,1,0,0 08-29:160,86,2,0,0
Austria|05-01:43,6,0,0,0 05-02:51,10,0,0,0 05-03:48,5,0,0,0 05-04:39,2,0,0,0 05-05:41,1,0,0,0 05-06:48,2,0,0,0 05-07:44,4,0,0,0 05-08:52,3,0,0,0 05-09:56,5,0,0,0 05-10:44,10,0,0,0 05-11:33,8,0,0,0 05-12:35,5,0,0,0 05-13:34,5,2,0,0 05-14:35,2,1,0,0 05-15:40,5,3,1,1 05-16:41,8,5,2,0 05-17:34,2,2,0,0 05-18:23,0,0,0,0 05-19:34,3,1,0,0 05-20:41,4,3,2,2 05-21:32,2,1,1,1 05-22:49,4,3,1,1 05-23:36,3,0,0,0 05-24:37,5,3,3,2 05-25:35,2,1,0,0 05-26:27,1,1,1,0 05-27:43,7,2,1,0 05-28:71,6,3,2,0 05-29:58,3,3,0,0 05-30:44,4,4,2,1 05-31:48,4,2,1,1 06-01:45,5,1,0,0 06-02:51,8,4,4,2 06-03:53,7,4,2,0 06-04:65,19,13,2,1 06-05:50,3,2,2,0 06-06:47,11,10,3,1 06-07:54,7,5,1,0 06-08:42,5,2,1,1 06-09:103,9,3,2,0 06-10:151,11,5,2,1 06-11:222,17,7,3,2 06-12:247,6,2,0,0 06-13:260,6,2,0,0 06-14:356,10,5,5,1 06-15:297,5,3,2,0 06-16:171,5,4,2,0 06-17:233,2,2,1,0 06-18:246,6,4,3,3 06-19:216,11,6,3,0 06-20:327,4,2,2,1 06-21:317,10,5,1,0 06-22:338,11,9,2,1 06-23:325,7,4,2,1 06-24:271,4,2,1,1 06-25:308,8,2,0,0 06-26:296,5,4,4,4 06-27:306,8,1,0,0 06-28:263,7,5,4,0 06-29:207,2,1,1,1 06-30:132,11,3,2,1 07-01:116,5,4,3,2 07-02:122,5,4,4,2 07-03:77,4,3,3,3 07-04:114,2,1,1,1 07-05:144,9,6,6,6 07-06:115,1,1,1,0 07-07:111,3,1,0,0 07-08:112,7,5,3,3 07-09:110,6,3,2,2 07-10:68,4,1,1,1 07-11:84,5,4,3,2 07-12:96,3,1,1,0 07-13:110,3,3,2,1 07-14:94,6,2,1,1 07-15:95,7,5,3,1 07-16:74,3,3,2,2 07-17:95,7,4,2,1 07-18:97,7,4,1,1 07-19:72,7,5,4,3 07-20:62,3,1,1,1 07-21:67,5,4,1,1 07-22:74,3,2,2,2 07-23:53,7,5,2,1 07-24:50,3,2,0,0 07-25:56,2,2,2,1 07-26:39,4,1,0,0 07-27:339,65,3,2,2 07-28:526,160,7,5,4 07-29:522,135,2,2,0 07-30:541,149,2,1,1 07-31:564,153,1,1,1 08-01:618,160,3,1,0 08-02:570,101,1,0,0 08-03:581,133,0,0,0 08-04:649,91,2,1,1 08-05:626,126,4,3,2 08-06:540,128,0,0,0 08-07:730,129,1,1,1 08-08:668,116,3,3,1 08-09:641,89,2,1,1 08-10:640,117,2,1,0 08-11:669,119,0,0,0 08-12:407,66,7,6,5 08-13:96,15,4,3,3 08-14:390,118,4,4,3 08-15:1148,438,4,3,1 08-16:1253,501,3,3,1 08-17:1270,533,1,1,0 08-18:802,297,1,1,0 08-19:957,385,3,2,2 08-20:1053,374,3,2,0 08-21:850,306,1,0,0 08-22:215,55,3,3,0 08-23:198,58,5,4,1 08-24:166,42,9,8,3 08-25:145,38,5,2,0 08-26:108,35,9,8,6 08-27:101,22,5,5,5 08-28:100,24,3,2,2 08-29:96,16,1,0,0
Bangladesh|07-26:10,0,0,0,0
Bolivia|07-28:20,12,7,4,0 07-29:24,9,5,2,0 07-31:11,1,0,0,0 08-02:11,5,1,1,1 08-03:16,4,3,1,0 08-04:15,7,2,2,0 08-06:12,3,0,0,0 08-07:37,5,3,1,1 08-08:159,1,0,0,0 08-09:24,2,0,0,0 08-10:104,4,1,0,0 08-11:44,0,0,0,0 08-12:79,26,4,3,0 08-13:44,19,5,3,1 08-17:10,4,2,1,1
Bosnia and Herzegovina|05-01:12,0,0,0,0 05-02:16,0,0,0,0 05-03:17,1,0,0,0 05-05:12,1,0,0,0 05-06:10,1,0,0,0 05-07:13,0,0,0,0 05-08:13,3,0,0,0 05-10:10,2,0,0,0 05-12:13,1,0,0,0 05-15:18,2,1,0,0 05-16:17,0,0,0,0 05-17:11,0,0,0,0 05-20:18,1,1,1,0 05-22:13,1,1,1,0 05-23:15,0,0,0,0 05-24:17,2,0,0,0 05-25:12,2,2,0,0 05-27:15,2,0,0,0 05-28:21,4,2,0,0 05-29:20,1,0,0,0 05-30:16,4,4,1,0 05-31:13,0,0,0,0 06-01:18,3,2,1,0 06-02:12,0,0,0,0 06-03:14,2,1,0,0 06-05:12,0,0,0,0 06-08:11,0,0,0,0 06-09:15,4,3,1,0 06-10:35,3,1,0,0 06-11:27,1,0,0,0 06-12:22,2,1,0,0 06-13:21,0,0,0,0 06-14:16,0,0,0,0 06-15:23,1,0,0,0 06-16:11,0,0,0,0 06-17:10,1,1,1,0 06-19:11,3,3,1,0 06-20:12,1,1,0,0 06-21:12,1,0,0,0 06-23:12,2,0,0,0 06-24:14,1,1,0,0 06-25:16,1,1,1,0 06-26:14,0,0,0,0 06-27:23,5,3,1,0 06-28:15,2,2,2,0 06-29:14,2,1,0,0 06-30:38,5,2,1,0 07-01:14,3,2,2,0 07-02:15,2,0,0,0 07-03:12,1,1,0,0 07-04:21,4,1,0,0 07-05:16,0,0,0,0 07-06:14,0,0,0,0 07-07:16,1,1,0,0 07-08:10,2,2,2,1 07-09:13,2,1,0,0 07-10:20,5,3,0,0 07-11:17,1,1,0,0 07-12:18,3,3,1,0 07-13:16,2,0,0,0 07-14:29,7,5,1,1 07-15:23,3,1,1,0 07-16:14,1,0,0,0 07-17:13,3,2,1,0 07-18:15,3,2,1,1 07-20:17,4,3,2,0 07-21:60,18,14,8,0 07-22:64,26,16,13,0 07-23:103,30,22,14,0 07-24:98,28,14,8,0 07-25:77,15,11,9,0 07-26:78,17,12,8,0 07-27:75,14,11,4,0 07-28:73,16,12,9,0 07-29:83,24,17,8,0 07-30:77,11,11,6,0 07-31:57,4,3,2,0 08-01:69,16,10,5,0 08-02:69,13,9,8,0 08-03:41,9,5,1,0 08-04:26,3,0,0,0 08-05:10,1,0,0,0 08-06:10,0,0,0,0 08-07:12,1,1,1,0 08-08:12,0,0,0,0 08-09:16,2,2,2,0 08-13:12,1,1,1,0 08-15:11,0,0,0,0 08-17:11,1,0,0,0 08-18:11,3,3,1,0 08-20:12,1,1,1,0 08-21:14,1,0,0,0 08-22:12,1,1,1,0 08-23:13,1,0,0,0 08-24:11,1,0,0,0 08-25:10,0,0,0,0 08-26:13,1,0,0,0 08-27:13,1,1,0,0 08-28:10,0,0,0,0
Botswana|06-30:12,3,1,1,0
