"Username:","App","Casino/Sports","ID:","Activity:","","Feedback","Deposit:"
"sadews","Email","Casino/Free spins","3858971","Inactive","03/08/2026","The customer was initially happy and interested in becoming a VIP.
After receiving the available VIP bonuses, he stopped responding and did not provide any further feedback.
There has been no activity on his account. His deposit amount is $513, with no further deposits or gaming activity.","Aug - 0"
"Scottyenkobis","Telegram ","Casino/Free spins","3543752","Active","04/08/2026","Customer is generally happy with FortuneJack and the VIP experience.
Main complaint: daily cashback is too low compared to the amount he can lose.
A VIP Deposit Welcome Bonus was added for him.
Sent a couple of follow-up messages asking for feedback, but no reply yet.
Cashback is completed, deposit bonus - expired.","Aug - 6,752.14"
"nikkrb","WhatsApp","Sports/Freebet","3908507","Inactive","03/08/2026","Customer is not interested in casino and prefers sports betting.
A Sports Welcome Deposit Bonus was added for him.
Follow-up messages were sent, but the customer is currently inactive.
The bonus is still available and has not been activated or used.
Waiting for the customer to become active and use the offer.","Aug - 0"
"twenjusty","Telegram ","Both","3737003","Inactive","","The customer mentioned that he will not be able to start his activity during August and will begin from September instead. This will not be an issue, and we have Lelu’s confirmation regarding this.
He is currently on vacation and plans to deposit around $10K in September once he starts his activity.","Sep - "
"bibiyasyo","Telegram ","Both","3030459","Active","03/08/2026","says VIP status didn't improve his experience and bonuses are weaker than the bonuses he received as a regular player.                                                                                           The $1,000 deposit + $3,000 wager requirement for 150 Free Spins ($150 value) does not feel attractive
He dislikes wagering requirements, especially because previous offers had no wagering requirements
He expected a VIP welcome reward (cash, free bet, free spins, etc.) when joining VIP but did not receive one
He feels there is currently little difference between being a regular player and a VIP member
Yesterday’s promotion was not appealing enough, especially compared to VIP programs on other platforms","Aug - 3,702.65"
"sunshynelady99","Telegram ","Casino/Free spins","1837005","Inactive","03/08/2026","Customer was mainly interested in Free Spins.
After being informed about the VIP Welcome Deposit Bonus, he requested Free Spins and received 100 FS, used it.
Follow-up messages were sent to get feedback, but no reply yet.
Customer has not used any other VIP bonuses.
Deposit Welcome Bonus is still available.
Cashback is active.","Aug - 258.7"
"znuost","WhatsApp","Casino/Free spins","3669423","Inactive","03/08/2026","Customer shared his experience with other casinos and his experience with FortuneJack.
He was informed about the available VIP bonuses, but has not replied since.
Cashback is active.
Deposit Welcome Bonus is still available.
Currently no activity from the customer.","Aug - 500.08"
"Lucas1111","Telegram ","Casino/Free spins","1486853","Active","03/08/2026","Customer is very positive about the VIP experience so far.
He appreciates the personalized service, communication, and bonuses received.
He is engaged with the VIP program and is interested in continuing his journey.                                                                                                         Customer has been playing actively over the past few days.
Recently experienced a loss of slightly over $1,000 while trying new games.
Despite the loss, he remains positive and enjoys the rewards.                                                                                                                                       Customer politely asked if there are any available options to help compensate or offset his recent losses.
He believes additional support would motivate him to continue playing more actively.","Aug - 6,514.65"
"PhotoBook","WhatsApp","Casino/Free spins","1259365","Inactive","04/08/2026","Active gambling community member with ~$75M lifetime wager across platforms.
Mainly plays house games; plays more slots / Misses the old Dice and Mines games.
Feels FortuneJack lacks the social/community aspect compared to other platforms.
Thinks VIP requirements are too high compared to the benefits received.
Says other platforms offer better VIP rewards (higher cashback, weekly/monthly bonuses, level rewards, exclusive perks).
Main feedback: wants stronger VIP benefits and more competitive rewards that match her activity level.","Aug - 1,474.58"
"maxbud","WhatsApp","Both","3365363","Active","04/08/2026","Customer is very satisfied with the VIP experience.
Recently made a deposit and is preparing for weekend play.
Likes the wide variety of bonuses and offers available.
Appreciates the high betting limits across games.
Very positive about FortuneJack and plans to use it as his main/only platform.","Aug - 35,452.49"
"Katali","No answer","No Info","1576698","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"alphawolfe","Telegram ","Casino/Free spins","1795367","Inactive","","No feedback yet. ","Sep -"
"meganrsmith1209","No answer","No Info","3007400","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"efinixie","Email","Casino/Free spins","3088128","Said HI","09/08/2026","No feedback yet. ","Aug - 2,636.59"
"ruknettin","No answer","No Info","3569024","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"Starzy1221","WhatsApp","Casino/Free spins","3617928","Active","04/08/2026","I asked about his feedback and experience with FortuneJack.
No response after my follow-up message.
Cashback is active.
Deposit Welcome Bonus is active.
Customer appears to be active on the platform, but there is currently no further feedback in chat.","Aug - 27.53"
"Baselh","No answer","No Info","3223750","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"jatindr","WhatsApp","Casino/Free spins","1201052","terminated","","The customer refused to become VIP and said that he does not like bonuses he received from the offer.                                                                    Does not want to deposit and was expecting Free Spis/ Free Bonuses.",""
"luckybird022D","No answer","No Info","3346063","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"jack-4936450","Telegram ","Casino/Free spins","3931006","Inactive","06/08/2026","Customer is mainly interested in Free Spins and frequently asks for FS.
Received 50 Free Spins as a kind gesture.
Deposit Welcome Bonus and Cashback are both active.
Customer is currently active and gradually increasing his activity.
Follow-up message was sent to get feedback about the VIP bonuses, but no reply yet.","Aug - 2,257.73"
"eze13","No answer","No Info","3714245","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"Coreytacoh","WhatsApp","Casino/Free spins","1856978","Said HI","06/08/2026","Customer contacted me after receiving the VIP email.
I asked a few questions: about his casino/sports preferences, previous experience, and feedback about FortuneJack.
No response since then, despite sending several follow-up messages.
Cashback is active.
Deposit Welcome Bonus is available.
Currently no further feedback/activity from the customer.","Aug - 0"
"andrei","WhatsApp","Both","1005369 ","Active","06/08/2026","Customer previously had a sportsbook betting limit (Pre-match Early bets/Line fall: 0.0005) that was stopping him.
The limit was reviewed and increased to 20%.
Customer was informed about the adjustment, asked questions, and was satisfied with the solution.
After the limit increase, he made a deposit and resumed playing.","Aug - 14,710.88"
"kopra","No answer","No Info","3225139","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"Waxhaw2022","No answer","No Info","2073729","Email sent","","Initial VIP email sent on Aug 3, followed up on Aug 8 - no message received yet.",""
"Shakesphere101","Email","Casino/Free spins","3539058","Active","09/08/2026","Customer is positive about the new VIP system and prefers it over FortuneJack’s previous tier structure.
Mainly plays slots and live blackjack/roulette, with occasional sports betting.
Prefers bonuses with lower wagering requirements and dislikes 40x playthrough requirements.
Appreciates the VIP service and has a positive relationship with VIP managers.","Aug - 8,195.46"
"Houss2020","WhatsApp","Casino/Free spins","1786889","Said HI","08/08/2026","No feedback yet. ","Aug - 2,256.74"
"banarich","WhatsApp","No Info","3752484","Said HI","08/08/2026","No feedback yet. ","Aug - 2,006.66"
"Sierrasly","Telegram ","Casino/Free spins","3915047","Active","08/08/2026","No feedback yet. ","Aug - 4,765"
"Andersand0","WhatsApp","Casino/Free spins","3922775","Inactive","15/08/2026","No feedback yet. ","Aug - 1,886.42"
"Wish2820","No answer","No Info","2022859","Email sent","","Initial VIP email sent on Aug 15 - no message received yet.",""
"ouyang22","No answer","No Info","3793947","Email sent","","Initial VIP email sent on Aug 15 - no message received yet.",""
"Kankuntabe","No answer","No Info","3916273","Email sent","","Initial VIP email sent on Aug 15 - no message received yet.",""
"agarcia517","No answer","No Info","1239856","Email sent","","Initial VIP email sent on Aug 15 - no message received yet.",""
"B33k33","No answer","No Info","3699573","Email sent","","Initial VIP email sent on Aug 27 - no message received yet.",""
"nikeeclipse","No answer","No Info","3143941","Email sent","","Initial VIP email sent on Aug 27 - no message received yet.",""
"PublicAgent","Telegram ","Casino/Free spins","1206161","Active","30/08/2026","No feedback yet. ","Aug - 3,595.62"
"rykki","No answer","No Info","3537221","Email sent","","Initial VIP email sent on Aug 30 - no message received yet.",""
"12344321","No answer","No Info","3729433","Email sent","","Initial VIP email sent on Sep 4 - no message received yet.",""
"TheLorax","Email","Casino/Free spins","3737901","Said HI","18/08/2026","No feedback yet. ","Aug - 40.72"
"12344321","Telegram ","Casino/Free spins","3729433","Said HI","06/09/2026","No feedback yet. IPM-2873",""
"VBA69","Telegram ","","3350966","Said HI","07/09/2026","No feedback yet. ",""
